"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Tuesday, December 05, 2023 09:24:03"
"Sample Description:"
"Batch ID:","12/05/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"Sample Date/Time:","Tuesday, December 05, 2023 09:30:40"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,808274.347
"| ","Be",9,,"ug/L",,8.333
"|-","Al",27,,"ug/L",,33413.643
"|-","V",51,,"ug/L",,-5654.384
"| ","Cr",52,,"ug/L",,7197.515
"| ","Mn",55,,"ug/L",,949.383
"| ","Fe",57,,"ug/L",,3781.453
"| ","Co",59,,"ug/L",,126.334
"| ","Ni",60,,"ug/L",,8228.723
"| ","Cu",63,,"ug/L",,224.003
"| ","Zn",66,,"ug/L",,299.005
"| ","As",75,,"ug/L",,-491.312
"| ","Se",82,,"ug/L",,8.330
"|>","Ge",74,,"ug/L",,312401.877
"|-","Mo",97,,"ug/L",,87.681
"|-","Ag",107,,"ug/L",,18.667
"| ","Cd",111,,"ug/L",,60.429
"|>","In",115,,"ug/L",,385014.852
"| ","Sb",123,,"ug/L",,152.054
"|-","Ba",137,,"ug/L",,89.249
"|-","Tl",205,,"ug/L",,1003.055
"| ","Pb",208,,"ug/L",,495.672
"|>","Bi",209,,"ug/L",,509566.880
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 2@2308560"
"Sample Date/Time:","Tuesday, December 05, 2023 09:33:57"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,810118.153
"| ","Be",9,0.200000,"ug/L",2.196,163.001
"|-","Al",27,,"ug/L",,23419.126
"|-","V",51,,"ug/L",,-6072.086
"| ","Cr",52,,"ug/L",,9323.447
"| ","Mn",55,,"ug/L",,3901.504
"| ","Fe",57,,"ug/L",,4443.753
"| ","Co",59,,"ug/L",,2197.599
"| ","Ni",60,,"ug/L",,8298.789
"| ","Cu",63,,"ug/L",,1901.866
"| ","Zn",66,,"ug/L",,689.693
"| ","As",75,,"ug/L",,-473.534
"| ","Se",82,,"ug/L",,14.004
"|>","Ge",74,,"ug/L",,302387.463
"|-","Mo",97,,"ug/L",,230.240
"|-","Ag",107,,"ug/L",,329.339
"| ","Cd",111,0.200000,"ug/L",1.507,433.556
"|>","In",115,,"ug/L",,381298.108
"| ","Sb",123,,"ug/L",,361.887
"|-","Ba",137,,"ug/L",,2982.067
"|-","Tl",205,0.200000,"ug/L",1.459,7540.793
"| ","Pb",208,,"ug/L",,9370.916
"|>","Bi",209,,"ug/L",,509348.347
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 3@2308561"
"Sample Date/Time:","Tuesday, December 05, 2023 09:37:15"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,799705.192
"| ","Be",9,0.494113,"ug/L",8.557,359.340
"|-","Al",27,,"ug/L",,47450.515
"|-","V",51,,"ug/L",,-3372.008
"| ","Cr",52,,"ug/L",,11789.307
"| ","Mn",55,,"ug/L",,8176.676
"| ","Fe",57,,"ug/L",,6103.382
"| ","Co",59,,"ug/L",,5107.434
"| ","Ni",60,,"ug/L",,8332.484
"| ","Cu",63,1.000000,"ug/L",0.270,4410.403
"| ","Zn",66,,"ug/L",,1415.777
"| ","As",75,0.500000,"ug/L",59.837,-50.443
"| ","Se",82,,"ug/L",,40.390
"|>","Ge",74,,"ug/L",,298999.630
"|-","Mo",97,,"ug/L",,394.652
"|-","Ag",107,,"ug/L",,765.032
"| ","Cd",111,0.497140,"ug/L",3.850,938.133
"|>","In",115,,"ug/L",,373837.168
"| ","Sb",123,,"ug/L",,587.830
"|-","Ba",137,,"ug/L",,7204.438
"|-","Tl",205,0.498684,"ug/L",1.184,16942.775
"| ","Pb",208,0.500000,"ug/L",0.195,22554.355
"|>","Bi",209,,"ug/L",,506379.917
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 4@2308562"
"Sample Date/Time:","Tuesday, December 05, 2023 09:40:33"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,793719.131
"| ","Be",9,1.013539,"ug/L",0.584,758.365
"|-","Al",27,,"ug/L",,96454.012
"|-","V",51,,"ug/L",,-73.219
"| ","Cr",52,1.000000,"ug/L",3.769,15902.900
"| ","Mn",55,1.000000,"ug/L",0.820,16075.868
"| ","Fe",57,20.000000,"ug/L",1.829,9147.601
"| ","Co",59,1.000000,"ug/L",1.593,10346.218
"| ","Ni",60,,"ug/L",,9019.806
"| ","Cu",63,2.009275,"ug/L",0.746,8812.937
"| ","Zn",66,,"ug/L",,2723.408
"| ","As",75,1.036926,"ug/L",19.917,552.224
"| ","Se",82,,"ug/L",,52.622
"|>","Ge",74,,"ug/L",,299272.146
"|-","Mo",97,0.400000,"ug/L",3.403,747.008
"|-","Ag",107,0.200000,"ug/L",1.238,1568.802
"| ","Cd",111,1.004349,"ug/L",4.511,1871.833
"|>","In",115,,"ug/L",,375755.054
"| ","Sb",123,,"ug/L",,981.859
"|-","Ba",137,4.000000,"ug/L",2.248,14776.246
"|-","Tl",205,1.003485,"ug/L",2.763,33290.859
"| ","Pb",208,1.004618,"ug/L",1.115,45407.184
"|>","Bi",209,,"ug/L",,503673.622
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 5@2308563"
"Sample Date/Time:","Tuesday, December 05, 2023 09:43:50"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,787653.848
"| ","Be",9,5.004441,"ug/L",1.880,3748.440
"|-","Al",27,50.000000,"ug/L",1.843,430116.424
"|-","V",51,5.000000,"ug/L",2.990,40537.472
"| ","Cr",52,4.984852,"ug/L",0.805,49057.023
"| ","Mn",55,4.999491,"ug/L",0.595,77192.706
"| ","Fe",57,100.251111,"ug/L",0.992,33452.446
"| ","Co",59,4.998340,"ug/L",1.064,51239.666
"| ","Ni",60,5.000000,"ug/L",1.796,16646.560
"| ","Cu",63,9.993724,"ug/L",0.605,42807.885
"| ","Zn",66,10.000000,"ug/L",1.064,12290.637
"| ","As",75,5.031534,"ug/L",1.028,5258.419
"| ","Se",82,,"ug/L",,293.047
"|>","Ge",74,,"ug/L",,301808.593
"|-","Mo",97,1.995272,"ug/L",3.336,3234.699
"|-","Ag",107,0.998986,"ug/L",1.110,7574.488
"| ","Cd",111,4.995890,"ug/L",2.572,8939.361
"|>","In",115,,"ug/L",,375931.262
"| ","Sb",123,1.000000,"ug/L",1.891,4341.744
"|-","Ba",137,19.989252,"ug/L",1.628,72549.150
"|-","Tl",205,5.000560,"ug/L",0.958,163576.893
"| ","Pb",208,4.999461,"ug/L",0.596,225287.322
"|>","Bi",209,,"ug/L",,507588.515
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 6@2308564"
"Sample Date/Time:","Tuesday, December 05, 2023 09:47:08"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,773373.682
"| ","Be",9,10.036093,"ug/L",1.375,7475.740
"|-","Al",27,100.898024,"ug/L",0.981,849028.723
"|-","V",51,10.086006,"ug/L",1.299,89252.776
"| ","Cr",52,10.045800,"ug/L",0.660,91917.369
"| ","Mn",55,10.044857,"ug/L",0.694,154492.361
"| ","Fe",57,201.156075,"ug/L",0.421,63828.977
"| ","Co",59,10.043831,"ug/L",0.468,103033.291
"| ","Ni",60,10.167029,"ug/L",1.025,26498.571
"| ","Cu",63,20.080521,"ug/L",1.083,85815.804
"| ","Zn",66,20.085237,"ug/L",1.315,24437.470
"| ","As",75,10.049266,"ug/L",3.531,11026.924
"| ","Se",82,4.000000,"ug/L",2.595,574.056
"|>","Ge",74,,"ug/L",,297275.479
"|-","Mo",97,4.029293,"ug/L",0.766,6529.880
"|-","Ag",107,2.012190,"ug/L",1.229,15456.797
"| ","Cd",111,10.043913,"ug/L",1.815,18042.866
"|>","In",115,,"ug/L",,372396.619
"| ","Sb",123,2.016365,"ug/L",1.490,8803.732
"|-","Ba",137,40.213021,"ug/L",1.703,147502.159
"|-","Tl",205,10.016020,"ug/L",0.650,324704.801
"| ","Pb",208,10.024718,"ug/L",0.292,450053.477
"|>","Bi",209,,"ug/L",,501490.111
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 7@2308565"
"Sample Date/Time:","Tuesday, December 05, 2023 09:50:25"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,781191.635
"| ","Be",9,50.007865,"ug/L",0.371,37709.047
"|-","Al",27,500.286949,"ug/L",0.517,4172180.336
"|-","V",51,50.043947,"ug/L",0.756,474044.703
"| ","Cr",52,50.016046,"ug/L",0.391,434436.691
"| ","Mn",55,50.019553,"ug/L",0.215,774092.598
"| ","Fe",57,1000.974816,"ug/L",0.530,310168.927
"| ","Co",59,50.014072,"ug/L",0.688,517035.985
"| ","Ni",60,50.198034,"ug/L",0.860,108254.756
"| ","Cu",63,100.066304,"ug/L",0.632,433818.155
"| ","Zn",66,100.042303,"ug/L",0.356,121993.076
"| ","As",75,50.078976,"ug/L",0.723,58842.364
"| ","Se",82,19.990221,"ug/L",1.515,2812.137
"|>","Ge",74,,"ug/L",,298180.895
"|-","Mo",97,20.029660,"ug/L",0.413,33199.712
"|-","Ag",107,10.012523,"ug/L",0.108,78796.370
"| ","Cd",111,50.030528,"ug/L",0.882,90734.638
"|>","In",115,,"ug/L",,372353.596
"| ","Sb",123,10.031688,"ug/L",2.690,46120.040
"|-","Ba",137,200.020543,"ug/L",1.640,734803.672
"|-","Tl",205,50.048015,"ug/L",1.837,1626693.709
"| ","Pb",208,50.062459,"ug/L",0.542,2270349.566
"|>","Bi",209,,"ug/L",,494479.757
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 8@2308566"
"Sample Date/Time:","Tuesday, December 05, 2023 09:53:43"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,785085.909
"| ","Be",9,100.204087,"ug/L",0.818,76524.763
"|-","Al",27,1004.108088,"ug/L",0.858,8515489.900
"|-","V",51,100.480706,"ug/L",1.784,967720.798
"| ","Cr",52,100.416863,"ug/L",1.934,872383.159
"| ","Mn",55,100.231074,"ug/L",1.573,1551996.376
"| ","Fe",57,2011.621330,"ug/L",0.677,628829.048
"| ","Co",59,100.359599,"ug/L",0.418,1043787.816
"| ","Ni",60,100.679943,"ug/L",1.594,212932.926
"| ","Cu",63,200.402994,"ug/L",1.188,868629.126
"| ","Zn",66,200.297978,"ug/L",0.546,243492.002
"| ","As",75,100.440292,"ug/L",1.044,119596.259
"| ","Se",82,40.217763,"ug/L",0.536,5726.479
"|>","Ge",74,,"ug/L",,295920.734
"|-","Mo",97,40.220614,"ug/L",1.381,67489.682
"|-","Ag",107,20.075602,"ug/L",1.431,161725.534
"| ","Cd",111,100.160183,"ug/L",0.590,184375.624
"|>","In",115,,"ug/L",,375754.540
"| ","Sb",123,20.187099,"ug/L",0.309,96977.889
"|-","Ba",137,400.844028,"ug/L",2.281,1497829.630
"|-","Tl",205,99.914552,"ug/L",1.451,3274802.535
"| ","Pb",208,100.001207,"ug/L",1.022,4589164.624
"|>","Bi",209,,"ug/L",,500461.490
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 9@2308567"
"Sample Date/Time:","Tuesday, December 05, 2023 09:57:02"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,767644.494
"| ","Be",9,500.091345,"ug/L",1.154,374728.556
"|-","Al",27,5002.643763,"ug/L",0.916,41792686.193
"|-","V",51,499.829313,"ug/L",0.650,4736960.404
"| ","Cr",52,499.886758,"ug/L",0.255,4237794.427
"| ","Mn",55,499.993388,"ug/L",1.242,7630199.328
"| ","Fe",57,9989.701220,"ug/L",0.191,3004585.722
"| ","Co",59,499.791098,"ug/L",1.115,5083882.996
"| ","Ni",60,499.972622,"ug/L",1.215,1011333.443
"| ","Cu",63,999.359218,"ug/L",1.412,4217649.944
"| ","Zn",66,999.621389,"ug/L",0.933,1188397.931
"| ","As",75,499.999951,"ug/L",0.661,589023.919
"| ","Se",82,200.122223,"ug/L",0.457,28415.631
"|>","Ge",74,,"ug/L",,291851.099
"|-","Mo",97,200.114318,"ug/L",0.744,334635.660
"|-","Ag",107,100.188655,"ug/L",0.369,824849.067
"| ","Cd",111,499.953362,"ug/L",0.670,903534.300
"|>","In",115,,"ug/L",,369662.854
"| ","Sb",123,100.167136,"ug/L",1.453,488983.456
"|-","Ba",137,2000.086756,"ug/L",1.121,7360019.770
"|-","Tl",205,500.384644,"ug/L",1.834,16270277.399
"| ","Pb",208,500.266384,"ug/L",1.699,22670512.803
"|>","Bi",209,,"ug/L",,489040.988
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICV@23J1152"
"Sample Date/Time:","Tuesday, December 05, 2023 10:04:13"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,944521.230
"| ","Be",9,34.382142,"ug/L",140.202,29089.383
"|-","Al",27,691.707699,"ug/L",139.988,6573893.514
"|-","V",51,35.204735,"ug/L",142.012,380087.539
"| ","Cr",52,33.989639,"ug/L",144.644,342472.507
"| ","Mn",55,34.203611,"ug/L",142.301,608243.106
"| ","Fe",57,689.791367,"ug/L",143.321,246037.944
"| ","Co",59,34.965285,"ug/L",141.779,414546.523
"| ","Ni",60,32.583597,"ug/L",154.646,85473.713
"| ","Cu",63,69.490160,"ug/L",141.693,342090.491
"| ","Zn",66,69.436164,"ug/L",140.814,96988.339
"| ","As",75,35.161424,"ug/L",139.411,47972.019
"| ","Se",82,33.554726,"ug/L",141.129,5580.926
"|>","Ge",74,,"ug/L",,410008.971
"|-","Mo",97,34.265404,"ug/L",141.157,66989.264
"|-","Ag",107,13.407196,"ug/L",138.606,127978.757
"| ","Cd",111,35.165061,"ug/L",137.946,73926.322
"|>","In",115,,"ug/L",,493061.585
"| ","Sb",123,15.695373,"ug/L",134.498,89473.068
"|-","Ba",137,172.820157,"ug/L",138.171,738500.653
"|-","Tl",205,36.602639,"ug/L",139.738,1381570.186
"| ","Pb",208,35.789199,"ug/L",137.795,1894410.830
"|>","Bi",209,,"ug/L",,655492.923
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICV@23J1152"
"Sample Date/Time:","Tuesday, December 05, 2023 10:07:34"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,763742.776
"| ","Be",9,101.915767,"ug/L",1.251,75989.642
"|-","Al",27,2018.324456,"ug/L",1.177,16795243.415
"|-","V",51,104.024852,"ug/L",0.831,967020.075
"| ","Cr",52,103.027273,"ug/L",0.862,865622.843
"| ","Mn",55,101.808199,"ug/L",1.136,1531216.049
"| ","Fe",57,2061.700922,"ug/L",0.212,613597.246
"| ","Co",59,102.575748,"ug/L",0.801,1027961.586
"| ","Ni",60,101.633560,"ug/L",0.327,208555.791
"| ","Cu",63,205.260853,"ug/L",0.419,853555.932
"| ","Zn",66,204.183535,"ug/L",0.469,239346.521
"| ","As",75,103.126601,"ug/L",0.343,119315.102
"| ","Se",82,98.817464,"ug/L",0.894,13825.484
"|>","Ge",74,,"ug/L",,287491.771
"|-","Mo",97,102.616428,"ug/L",0.627,169078.908
"|-","Ag",107,38.869957,"ug/L",0.237,317706.868
"| ","Cd",111,102.193059,"ug/L",0.822,183381.401
"|>","In",115,,"ug/L",,366977.320
"| ","Sb",123,43.867353,"ug/L",0.895,212658.569
"|-","Ba",137,504.771172,"ug/L",0.720,1843996.261
"|-","Tl",205,105.040952,"ug/L",0.935,3425974.657
"| ","Pb",208,102.552961,"ug/L",1.045,4660914.940
"|>","Bi",209,,"ug/L",,490397.437
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICB@2308559"
"Sample Date/Time:","Tuesday, December 05, 2023 10:12:16"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,721464.088
"| ","Be",9,0.022099,"ug/L",22.338,23.000
"|-","Al",27,0.224725,"ug/L",49.359,31591.503
"|-","V",51,-0.005068,"ug/L",3219.558,-5318.173
"| ","Cr",52,0.016425,"ug/L",118.864,6843.242
"| ","Mn",55,0.019748,"ug/L",75.179,1184.412
"| ","Fe",57,-0.060456,"ug/L",810.293,3504.676
"| ","Co",59,0.025922,"ug/L",100.314,380.010
"| ","Ni",60,-1.766826,"ug/L",4.767,4128.271
"| ","Cu",63,0.075807,"ug/L",103.530,527.019
"| ","Zn",66,0.067180,"ug/L",161.473,358.008
"| ","As",75,0.152980,"ug/L",89.747,-277.889
"| ","Se",82,0.111906,"ug/L",39.295,23.590
"|>","Ge",74,,"ug/L",,291027.195
"|-","Mo",97,0.173486,"ug/L",11.585,370.838
"|-","Ag",107,0.006585,"ug/L",81.545,71.000
"| ","Cd",111,0.020337,"ug/L",66.964,93.011
"|>","In",115,,"ug/L",,362135.849
"| ","Sb",123,0.130751,"ug/L",9.339,768.750
"|-","Ba",137,0.067460,"ug/L",74.343,328.574
"|-","Tl",205,-0.002788,"ug/L",342.382,871.379
"| ","Pb",208,0.013096,"ug/L",52.221,1068.360
"|>","Bi",209,,"ug/L",,489272.588
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-LCV@23K0302"
"Sample Date/Time:","Tuesday, December 05, 2023 10:28:21"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,727339.373
"| ","Be",9,0.427128,"ug/L",5.706,310.672
"|-","Al",27,52.305493,"ug/L",1.658,443776.875
"|-","V",51,10.709453,"ug/L",2.930,92751.072
"| ","Cr",52,5.444453,"ug/L",2.001,50849.840
"| ","Mn",55,5.403415,"ug/L",2.052,80252.742
"| ","Fe",57,53.172811,"ug/L",1.758,18784.055
"| ","Co",59,1.096832,"ug/L",3.212,10856.481
"| ","Ni",60,3.233326,"ug/L",0.277,13653.579
"| ","Cu",63,5.498566,"ug/L",2.043,22546.929
"| ","Zn",66,10.801589,"ug/L",2.391,12631.438
"| ","As",75,1.241468,"ug/L",21.443,968.971
"| ","Se",82,5.239023,"ug/L",2.499,723.711
"|>","Ge",74,,"ug/L",,281048.572
"|-","Mo",97,1.104957,"ug/L",1.681,1857.761
"|-","Ag",107,0.202801,"ug/L",1.976,1636.147
"| ","Cd",111,0.209837,"ug/L",2.364,424.004
"|>","In",115,,"ug/L",,358440.578
"| ","Sb",123,1.002538,"ug/L",5.942,4886.862
"|-","Ba",137,10.896769,"ug/L",0.118,38963.205
"|-","Tl",205,0.199306,"ug/L",2.701,7358.644
"| ","Pb",208,0.544576,"ug/L",1.625,24869.712
"|>","Bi",209,,"ug/L",,483478.281
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-CCV@2308565"
"Sample Date/Time:","Tuesday, December 05, 2023 10:32:30"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,720999.141
"| ","Be",9,49.850265,"ug/L",1.374,35091.940
"|-","Al",27,494.078953,"ug/L",1.282,3903772.112
"|-","V",51,49.972945,"ug/L",1.163,453090.375
"| ","Cr",52,49.342109,"ug/L",0.947,410095.485
"| ","Mn",55,49.912958,"ug/L",1.046,736911.770
"| ","Fe",57,1012.347909,"ug/L",0.918,297348.996
"| ","Co",59,50.170984,"ug/L",0.772,493344.008
"| ","Ni",60,48.011723,"ug/L",0.336,100577.665
"| ","Cu",63,101.202054,"ug/L",0.310,412995.351
"| ","Zn",66,101.507951,"ug/L",0.565,116878.634
"| ","As",75,50.112241,"ug/L",0.644,56654.229
"| ","Se",82,19.070869,"ug/L",0.705,2623.741
"|>","Ge",74,,"ug/L",,282057.281
"|-","Mo",97,19.429536,"ug/L",1.614,31469.496
"|-","Ag",107,9.714222,"ug/L",0.745,76373.477
"| ","Cd",111,50.782010,"ug/L",1.031,87677.267
"|>","In",115,,"ug/L",,352945.263
"| ","Sb",123,9.545546,"ug/L",0.898,44616.764
