"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Thursday, December 07, 2023 10:13:56"
"Sample Description:"
"Batch ID:","12/07/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|-","Ba",137,,"ug/L",,128.161
"|-","Tl",205,,"ug/L",,211.002
"| ","Pb",208,,"ug/L",,776.346
"|>","Bi",209,,"ug/L",,676678.555
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Thursday, December 07, 2023 10:43:03"
"Sample Description:"
"Batch ID:","12/07/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,801793.519
"| ","Be",9,,"ug/L",,7.000
"|-","Al",27,,"ug/L",,164004.545
"|-","V",51,,"ug/L",,-22905.701
"| ","Cr",52,,"ug/L",,27181.588
"| ","Mn",55,,"ug/L",,1880.528
"| ","Fe",57,,"ug/L",,10698.628
"| ","Co",59,,"ug/L",,63.667
"| ","Ni",60,,"ug/L",,115.334
"| ","Cu",63,,"ug/L",,573.351
"| ","Zn",66,,"ug/L",,1028.725
"| ","As",75,,"ug/L",,-1858.190
"| ","Se",82,,"ug/L",,-4.390
"|>","Ge",74,,"ug/L",,549385.491
"|-","Mo",97,,"ug/L",,55.351
"|-","Ag",107,,"ug/L",,36.000
"| ","Cd",111,,"ug/L",,65.338
"|>","In",115,,"ug/L",,590666.798
"| ","Sb",123,,"ug/L",,338.739
"|-","Ba",137,,"ug/L",,121.174
"|-","Tl",205,,"ug/L",,211.669
"| ","Pb",208,,"ug/L",,763.679
"|>","Bi",209,,"ug/L",,674362.193
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 1@2308559"
"Sample Date/Time:","Thursday, December 07, 2023 10:46:18"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,823941.954
"| ","Be",9,,"ug/L",,8.333
"|-","Al",27,,"ug/L",,83057.729
"|-","V",51,,"ug/L",,-25868.400
"| ","Cr",52,,"ug/L",,26722.222
"| ","Mn",55,,"ug/L",,1773.506
"| ","Fe",57,,"ug/L",,10463.019
"| ","Co",59,,"ug/L",,75.334
"| ","Ni",60,,"ug/L",,109.001
"| ","Cu",63,,"ug/L",,397.009
"| ","Zn",66,,"ug/L",,734.696
"| ","As",75,,"ug/L",,-2250.309
"| ","Se",82,,"ug/L",,14.019
"|>","Ge",74,,"ug/L",,542055.879
"|-","Mo",97,,"ug/L",,46.982
"|-","Ag",107,,"ug/L",,28.333
"| ","Cd",111,,"ug/L",,64.147
"|>","In",115,,"ug/L",,585130.682
"| ","Sb",123,,"ug/L",,361.092
"|-","Ba",137,,"ug/L",,86.882
"|-","Tl",205,,"ug/L",,220.336
"| ","Pb",208,,"ug/L",,481.672
"|>","Bi",209,,"ug/L",,671020.952
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 2@2308560"
"Sample Date/Time:","Thursday, December 07, 2023 10:49:33"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,803419.385
"| ","Be",9,0.200000,"ug/L",8.910,208.002
"|-","Al",27,,"ug/L",,46286.205
"|-","V",51,,"ug/L",,-21581.619
"| ","Cr",52,,"ug/L",,28956.061
"| ","Mn",55,,"ug/L",,7922.119
"| ","Fe",57,,"ug/L",,12001.251
"| ","Co",59,,"ug/L",,4591.827
"| ","Ni",60,,"ug/L",,1027.058
"| ","Cu",63,,"ug/L",,25152.415
"| ","Zn",66,,"ug/L",,1558.134
"| ","As",75,,"ug/L",,-1545.613
"| ","Se",82,,"ug/L",,7.925
"|>","Ge",74,,"ug/L",,540032.906
"|-","Mo",97,,"ug/L",,263.574
"|-","Ag",107,,"ug/L",,626.355
"| ","Cd",111,0.200000,"ug/L",1.480,669.830
"|>","In",115,,"ug/L",,577366.030
"| ","Sb",123,,"ug/L",,579.011
"|-","Ba",137,,"ug/L",,4606.077
"|-","Tl",205,0.200000,"ug/L",1.475,9247.702
"| ","Pb",208,,"ug/L",,12625.765
"|>","Bi",209,,"ug/L",,665680.638
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 3@2308561"
"Sample Date/Time:","Thursday, December 07, 2023 10:52:48"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,809072.379
"| ","Be",9,0.498152,"ug/L",7.080,498.014
"|-","Al",27,,"ug/L",,87943.676
"|-","V",51,,"ug/L",,-19329.956
"| ","Cr",52,,"ug/L",,34286.220
"| ","Mn",55,,"ug/L",,15353.625
"| ","Fe",57,,"ug/L",,15501.538
"| ","Co",59,,"ug/L",,11136.484
"| ","Ni",60,,"ug/L",,2444.662
"| ","Cu",63,1.000000,"ug/L",1.066,10424.974
"| ","Zn",66,,"ug/L",,2937.808
"| ","As",75,0.500000,"ug/L",43.163,-878.477
"| ","Se",82,,"ug/L",,45.319
"|>","Ge",74,,"ug/L",,538898.130
"|-","Mo",97,,"ug/L",,592.777
"|-","Ag",107,,"ug/L",,1473.119
"| ","Cd",111,0.497707,"ug/L",1.246,1551.765
"|>","In",115,,"ug/L",,585301.274
"| ","Sb",123,,"ug/L",,983.564
"|-","Ba",137,,"ug/L",,11713.771
"|-","Tl",205,0.499649,"ug/L",1.632,22698.302
"| ","Pb",208,0.500000,"ug/L",0.759,31035.761
"|>","Bi",209,,"ug/L",,666405.147
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 4@2308562"
"Sample Date/Time:","Thursday, December 07, 2023 10:56:02"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,799076.058
"| ","Be",9,1.008778,"ug/L",6.018,1018.390
"|-","Al",27,,"ug/L",,168238.651
"|-","V",51,,"ug/L",,-7076.978
"| ","Cr",52,1.000000,"ug/L",3.170,41996.118
"| ","Mn",55,1.000000,"ug/L",1.487,29178.425
"| ","Fe",57,20.000000,"ug/L",3.085,21059.703
"| ","Co",59,1.000000,"ug/L",0.126,22323.711
"| ","Ni",60,,"ug/L",,4698.215
"| ","Cu",63,1.998742,"ug/L",1.393,20600.983
"| ","Zn",66,,"ug/L",,5452.302
"| ","As",75,1.011520,"ug/L",17.874,638.061
"| ","Se",82,,"ug/L",,109.008
"|>","Ge",74,,"ug/L",,544390.463
"|-","Mo",97,0.400000,"ug/L",3.024,1188.169
"|-","Ag",107,0.200000,"ug/L",0.542,2881.457
"| ","Cd",111,0.997698,"ug/L",2.393,2996.633
"|>","In",115,,"ug/L",,580371.865
"| ","Sb",123,,"ug/L",,1519.531
"|-","Ba",137,4.000000,"ug/L",0.807,22845.902
"|-","Tl",205,0.997440,"ug/L",0.485,44878.840
"| ","Pb",208,0.998961,"ug/L",0.609,61513.983
"|>","Bi",209,,"ug/L",,668959.855
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 5@2308563"
"Sample Date/Time:","Thursday, December 07, 2023 10:59:17"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,807587.435
"| ","Be",9,5.009418,"ug/L",3.839,5273.197
"|-","Al",27,50.000000,"ug/L",0.622,830968.435
"|-","V",51,5.000000,"ug/L",3.234,69607.941
"| ","Cr",52,5.018574,"ug/L",2.661,111084.820
"| ","Mn",55,5.009065,"ug/L",0.165,146018.366
"| ","Fe",57,100.453547,"ug/L",0.089,70517.784
"| ","Co",59,5.008040,"ug/L",0.262,116547.685
"| ","Ni",60,5.000000,"ug/L",0.797,24328.179
"| ","Cu",63,10.017010,"ug/L",0.910,105569.474
"| ","Zn",66,10.000000,"ug/L",0.799,25818.946
"| ","As",75,4.982574,"ug/L",6.231,11107.134
"| ","Se",82,,"ug/L",,562.672
"|>","Ge",74,,"ug/L",,546191.215
"|-","Mo",97,2.003031,"ug/L",1.883,6006.153
"|-","Ag",107,1.002281,"ug/L",1.035,15331.585
"| ","Cd",111,5.008803,"ug/L",2.613,15453.604
"|>","In",115,,"ug/L",,585734.542
"| ","Sb",123,1.000000,"ug/L",2.365,6901.723
"|-","Ba",137,20.037798,"ug/L",0.867,120865.122
"|-","Tl",205,5.007815,"ug/L",0.627,234319.272
"| ","Pb",208,5.008694,"ug/L",0.024,321470.350
"|>","Bi",209,,"ug/L",,677245.078
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 6@2308564"
"Sample Date/Time:","Thursday, December 07, 2023 11:02:32"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,808286.710
"| ","Be",9,10.023139,"ug/L",1.234,10644.563
"|-","Al",27,100.804523,"ug/L",1.140,1644221.590
"|-","V",51,10.011364,"ug/L",0.786,167436.132
"| ","Cr",52,10.007561,"ug/L",0.933,196488.891
"| ","Mn",55,9.979877,"ug/L",0.489,288793.229
"| ","Fe",57,199.957303,"ug/L",0.665,130662.975
"| ","Co",59,9.985773,"ug/L",0.535,232537.529
"| ","Ni",60,9.988959,"ug/L",1.336,48589.517
"| ","Cu",63,19.974542,"ug/L",0.177,210450.385
"| ","Zn",66,20.084932,"ug/L",0.501,52316.773
"| ","As",75,9.938807,"ug/L",0.381,23952.827
"| ","Se",82,4.000000,"ug/L",1.929,1142.688
"|>","Ge",74,,"ug/L",,549713.731
"|-","Mo",97,3.990650,"ug/L",0.697,11889.904
"|-","Ag",107,1.997569,"ug/L",0.237,30431.853
"| ","Cd",111,9.995537,"ug/L",0.370,30769.196
"|>","In",115,,"ug/L",,586616.688
"| ","Sb",123,2.007658,"ug/L",1.459,13716.348
"|-","Ba",137,39.882760,"ug/L",1.127,238135.543
"|-","Tl",205,9.975772,"ug/L",1.378,465102.642
"| ","Pb",208,9.984181,"ug/L",0.618,640412.292
"|>","Bi",209,,"ug/L",,681454.429
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 7@2308565"
"Sample Date/Time:","Thursday, December 07, 2023 11:05:47"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,849129.128
"| ","Be",9,49.859818,"ug/L",0.665,52670.140
"|-","Al",27,499.859346,"ug/L",1.217,8180668.992
"|-","V",51,50.058664,"ug/L",2.157,971913.751
"| ","Cr",52,50.087681,"ug/L",1.638,911567.084
"| ","Mn",55,50.037943,"ug/L",0.614,1472715.144
"| ","Fe",57,1001.489979,"ug/L",0.735,634516.288
"| ","Co",59,50.021179,"ug/L",0.465,1182427.684
"| ","Ni",60,50.049636,"ug/L",1.073,249626.578
"| ","Cu",63,99.993671,"ug/L",0.855,1057755.476
"| ","Zn",66,99.715617,"ug/L",0.512,244666.740
"| ","As",75,49.875005,"ug/L",0.316,124004.530
"| ","Se",82,19.968111,"ug/L",1.314,5468.368
"|>","Ge",74,,"ug/L",,553479.826
"|-","Mo",97,20.041734,"ug/L",1.978,62510.411
"|-","Ag",107,10.001607,"ug/L",0.708,156733.619
"| ","Cd",111,49.935189,"ug/L",0.451,153526.548
"|>","In",115,,"ug/L",,601934.137
"| ","Sb",123,10.025835,"ug/L",2.186,72529.973
"|-","Ba",137,199.953026,"ug/L",0.218,1219125.510
"|-","Tl",205,49.934214,"ug/L",0.601,2280469.657
"| ","Pb",208,50.022827,"ug/L",0.514,3253243.332
"|>","Bi",209,,"ug/L",,685072.603
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 8@2308566"
"Sample Date/Time:","Thursday, December 07, 2023 11:09:02"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,856498.004
"| ","Be",9,100.502289,"ug/L",1.112,109174.816
"|-","Al",27,1001.001586,"ug/L",1.028,16501712.979
"|-","V",51,99.675539,"ug/L",1.703,1956218.430
"| ","Cr",52,99.595204,"ug/L",1.322,1776118.598
"| ","Mn",55,99.828579,"ug/L",1.441,2945710.995
"| ","Fe",57,1998.082893,"ug/L",1.329,1262964.400
"| ","Co",59,99.901011,"ug/L",0.548,2375408.892
"| ","Ni",60,100.221771,"ug/L",0.808,508913.726
"| ","Cu",63,199.596678,"ug/L",0.387,2115255.598
"| ","Zn",66,200.620313,"ug/L",0.606,502181.552
"| ","As",75,100.159766,"ug/L",0.790,255338.599
"| ","Se",82,40.178915,"ug/L",0.305,11289.417
"|>","Ge",74,,"ug/L",,558837.266
"|-","Mo",97,40.108118,"ug/L",0.447,127584.358
"|-","Ag",107,19.991593,"ug/L",1.276,317459.375
"| ","Cd",111,100.106475,"ug/L",0.683,313606.136
"|>","In",115,,"ug/L",,610955.667
"| ","Sb",123,20.130046,"ug/L",1.121,151173.462
"|-","Ba",137,399.725152,"ug/L",0.496,2467062.717
"|-","Tl",205,100.144896,"ug/L",0.798,4673415.019
"| ","Pb",208,99.739300,"ug/L",0.816,6526658.258
"|>","Bi",209,,"ug/L",,696190.113
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 9@2308567"
"Sample Date/Time:","Thursday, December 07, 2023 11:12:17"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,866885.006
"| ","Be",9,477.175893,"ug/L",1.031,275541.792
"|-","Al",27,4775.659892,"ug/L",1.148,42058767.302
"|-","V",51,477.335545,"ug/L",1.321,5008124.499
"| ","Cr",52,477.472405,"ug/L",1.338,4485554.028
"| ","Mn",55,477.542683,"ug/L",1.437,7501847.435
"| ","Fe",57,9541.247930,"ug/L",0.714,3163462.325
"| ","Co",59,477.180833,"ug/L",0.950,5996940.264
"| ","Ni",60,476.451221,"ug/L",1.157,1259470.917
"| ","Cu",63,954.223829,"ug/L",0.772,5336847.338
"| ","Zn",66,953.981535,"ug/L",0.417,1256016.707
"| ","As",75,477.044271,"ug/L",0.414,644490.254
"| ","Se",82,191.064352,"ug/L",1.400,28612.823
"|>","Ge",74,,"ug/L",,562286.907
"|-","Mo",97,191.020298,"ug/L",0.477,323577.632
"|-","Ag",107,95.444314,"ug/L",1.115,799153.933
"| ","Cd",111,477.196898,"ug/L",0.450,787862.004
"|>","In",115,,"ug/L",,612876.230
"| ","Sb",123,95.707387,"ug/L",1.012,389132.745
"|-","Ba",137,1909.706281,"ug/L",0.890,6242787.799
"|-","Tl",205,478.074188,"ug/L",0.148,11918922.935
"| ","Pb",208,477.364187,"ug/L",1.016,16441647.230
"|>","Bi",209,,"ug/L",,694888.650
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 9@2308567"
"Sample Date/Time:","Thursday, December 07, 2023 11:27:03"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,865002.182
"| ","Be",9,488.210357,"ug/L",1.922,535459.193
"|-","Al",27,5000.874309,"ug/L",1.409,83185049.191
"|-","V",51,500.372403,"ug/L",3.015,10164967.538
"| ","Cr",52,500.446213,"ug/L",2.161,9051668.022
"| ","Mn",55,500.425562,"ug/L",2.883,15144651.107
"| ","Fe",57,10003.010979,"ug/L",3.013,6372838.382
"| ","Co",59,500.377144,"ug/L",2.751,12184713.956
"| ","Ni",60,500.164474,"ug/L",2.724,2578593.474
"| ","Cu",63,1000.048745,"ug/L",2.138,10701341.815
"| ","Zn",66,999.951902,"ug/L",2.219,2519892.095
"| ","As",75,499.332689,"ug/L",1.956,1260353.552
"| ","Se",82,199.888231,"ug/L",2.310,55986.029
"|>","Ge",74,,"ug/L",,563944.930
"|-","Mo",97,200.115860,"ug/L",1.989,649513.959
"|-","Ag",107,99.851028,"ug/L",1.766,1579493.592
"| ","Cd",111,499.194341,"ug/L",1.965,1554050.579
"|>","In",115,,"ug/L",,626731.196
"| ","Sb",123,100.056755,"ug/L",2.456,777830.417
"|-","Ba",137,2000.292773,"ug/L",1.659,12699764.730
"|-","Tl",205,500.795312,"ug/L",1.992,24236913.697
"| ","Pb",208,500.211090,"ug/L",2.281,33152625.895
"|>","Bi",209,,"ug/L",,699439.964
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICV@23J1152"
"Sample Date/Time:","Thursday, December 07, 2023 11:30:55"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,873384.710
"| ","Be",9,99.759495,"ug/L",1.384,110500.308
"|-","Al",27,2040.598706,"ug/L",0.921,34327929.968
"|-","V",51,103.586181,"ug/L",1.250,2074142.501
"| ","Cr",52,100.433859,"ug/L",0.849,1830803.028
"| ","Mn",55,102.239254,"ug/L",1.148,3082358.958
"| ","Fe",57,2048.739125,"ug/L",1.030,1308289.186
"| ","Co",59,103.357427,"ug/L",0.361,2506195.747
"| ","Ni",60,100.637686,"ug/L",0.769,516706.957
"| ","Cu",63,204.396632,"ug/L",0.913,2178072.399
"| ","Zn",66,199.468135,"ug/L",0.403,501098.797
"| ","As",75,104.600127,"ug/L",0.353,261024.170
"| ","Se",82,101.174574,"ug/L",0.198,28222.969
"|>","Ge",74,,"ug/L",,561383.638
"|-","Mo",97,103.070451,"ug/L",0.893,333104.762
"|-","Ag",107,41.946317,"ug/L",1.733,652569.191
"| ","Cd",111,105.199599,"ug/L",1.337,322153.877
"|>","In",115,,"ug/L",,616364.739
"| ","Sb",123,46.025413,"ug/L",1.486,352093.908
"|-","Ba",137,516.033300,"ug/L",0.924,3222225.892
"|-","Tl",205,105.410928,"ug/L",0.819,5102171.094
"| ","Pb",208,103.093968,"ug/L",0.482,6833915.516
"|>","Bi",209,,"ug/L",,699361.530
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICB@2308559"
"Sample Date/Time:","Thursday, December 07, 2023 11:34:11"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,804564.020
"| ","Be",9,0.024447,"ug/L",85.652,33.000
"|-","Al",27,0.320535,"ug/L",64.536,86044.200
"|-","V",51,-0.012823,"ug/L",1068.917,-25795.438
"| ","Cr",52,-0.133754,"ug/L",18.464,24089.213
"| ","Mn",55,0.019576,"ug/L",38.886,2311.629
"| ","Fe",57,-0.011250,"ug/L",5356.857,10319.857
"| ","Co",59,0.017889,"ug/L",43.496,486.347
"| ","Ni",60,0.017206,"ug/L",28.830,191.669
"| ","Cu",63,0.076811,"ug/L",22.641,1170.410
"| ","Zn",66,0.001741,"ug/L",244.322,729.363
"| ","As",75,0.153092,"ug/L",75.773,-1852.918
"| ","Se",82,0.264792,"ug/L",34.525,83.971
"|>","Ge",74,,"ug/L",,535117.092
"|-","Mo",97,0.427194,"ug/L",7.101,1361.285
"|-","Ag",107,0.005204,"ug/L",21.586,104.667
"| ","Cd",111,0.017350,"ug/L",12.721,114.077
"|>","In",115,,"ug/L",,582598.544
"| ","Sb",123,0.678885,"ug/L",1.224,5263.314
"|-","Ba",137,0.077943,"ug/L",34.707,546.226
"|-","Tl",205,0.026873,"ug/L",43.450,1457.461
"| ","Pb",208,0.024433,"ug/L",66.548,2020.771
"|>","Bi",209,,"ug/L",,666079.281
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-LCV@23K0302"
"Sample Date/Time:","Thursday, December 07, 2023 11:38:16"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
