"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Wednesday, December 06, 2023 09:31:50"
"Sample Description:"
"Batch ID:","12/06/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"| ","Cr",52,,"ug/L",,17585.327
"| ","Mn",55,,"ug/L",,10627.875
"| ","Fe",57,,"ug/L",,7965.489
"| ","Co",59,,"ug/L",,6532.347
"| ","Ni",60,,"ug/L",,1421.444
"| ","Cu",63,1.000000,"ug/L",1.056,5645.753
"| ","Zn",66,,"ug/L",,2670.726
"| ","As",75,0.500000,"ug/L",76.794,-409.427
"| ","Se",82,,"ug/L",,31.291
"|>","Ge",74,,"ug/L",,331825.885
"|-","Mo",97,,"ug/L",,437.873
"|-","Ag",107,,"ug/L",,1018.390
"| ","Cd",111,0.506183,"ug/L",1.002,1118.243
"|>","In",115,,"ug/L",,401896.641
"| ","Sb",123,,"ug/L",,655.136
"|-","Ba",137,,"ug/L",,8456.104
"|-","Tl",205,0.499098,"ug/L",0.316,18327.791
"| ","Pb",208,0.500000,"ug/L",0.206,25284.834
"|>","Bi",209,,"ug/L",,504561.325
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 4@2308562"
"Sample Date/Time:","Wednesday, December 06, 2023 09:47:47"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,717507.605
"| ","Be",9,0.998715,"ug/L",3.346,803.702
"|-","Al",27,,"ug/L",,115435.274
"|-","V",51,,"ug/L",,-1791.509
"| ","Cr",52,1.000000,"ug/L",1.187,23113.680
"| ","Mn",55,1.000000,"ug/L",0.488,20589.290
"| ","Fe",57,20.000000,"ug/L",4.058,11898.450
"| ","Co",59,1.000000,"ug/L",0.791,13132.813
"| ","Ni",60,,"ug/L",,2738.079
"| ","Cu",63,2.007390,"ug/L",0.586,11108.783
"| ","Zn",66,,"ug/L",,5210.160
"| ","As",75,1.142392,"ug/L",19.153,604.420
"| ","Se",82,,"ug/L",,71.013
"|>","Ge",74,,"ug/L",,330409.401
"|-","Mo",97,0.400000,"ug/L",1.812,839.902
"|-","Ag",107,0.200000,"ug/L",3.075,1963.212
"| ","Cd",111,1.003620,"ug/L",2.813,2204.182
"|>","In",115,,"ug/L",,405332.707
"| ","Sb",123,,"ug/L",,1190.216
"|-","Ba",137,4.000000,"ug/L",0.571,17138.614
"|-","Tl",205,1.003799,"ug/L",1.286,36895.385
"| ","Pb",208,1.006025,"ug/L",0.970,51289.964
"|>","Bi",209,,"ug/L",,502598.690
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 5@2308563"
"Sample Date/Time:","Wednesday, December 06, 2023 09:50:59"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,709740.240
"| ","Be",9,4.998133,"ug/L",1.364,3863.821
"|-","Al",27,50.000000,"ug/L",0.599,523052.605
"|-","V",51,5.000000,"ug/L",2.296,44426.418
"| ","Cr",52,4.979510,"ug/L",0.669,64979.076
"| ","Mn",55,4.994173,"ug/L",1.480,95290.337
"| ","Fe",57,99.986414,"ug/L",1.538,41292.910
"| ","Co",59,4.999491,"ug/L",0.242,64907.578
"| ","Ni",60,5.000000,"ug/L",1.253,12791.326
"| ","Cu",63,10.001857,"ug/L",0.277,53937.893
"| ","Zn",66,10.000000,"ug/L",0.484,14498.219
"| ","As",75,5.050287,"ug/L",4.682,6230.008
"| ","Se",82,,"ug/L",,320.629
"|>","Ge",74,,"ug/L",,328637.935
"|-","Mo",97,1.998796,"ug/L",1.133,3909.001
"|-","Ag",107,0.999653,"ug/L",0.903,9582.049
"| ","Cd",111,4.994841,"ug/L",1.324,10452.832
"|>","In",115,,"ug/L",,402482.654
"| ","Sb",123,1.000000,"ug/L",3.734,5043.833
"|-","Ba",137,20.003746,"ug/L",1.165,85200.300
"|-","Tl",205,5.000207,"ug/L",0.275,182534.201
"| ","Pb",208,4.997625,"ug/L",0.862,249732.004
"|>","Bi",209,,"ug/L",,501936.626
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 6@2308564"
"Sample Date/Time:","Wednesday, December 06, 2023 09:54:11"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,715911.740
"| ","Be",9,10.017301,"ug/L",0.948,7840.380
"|-","Al",27,101.156740,"ug/L",1.249,1059954.285
"|-","V",51,10.126275,"ug/L",2.043,106670.837
"| ","Cr",52,9.959139,"ug/L",1.161,117319.868
"| ","Mn",55,10.041156,"ug/L",0.929,193669.597
"| ","Fe",57,201.662354,"ug/L",0.337,81284.797
"| ","Co",59,9.991870,"ug/L",0.676,129344.667
"| ","Ni",60,10.034082,"ug/L",1.089,25844.687
"| ","Cu",63,20.021645,"ug/L",0.914,108151.861
"| ","Zn",66,21.857227,"ug/L",0.715,49575.140
"| ","As",75,10.066079,"ug/L",3.734,13408.832
"| ","Se",82,4.000000,"ug/L",2.899,652.982
"|>","Ge",74,,"ug/L",,328852.226
"|-","Mo",97,4.026005,"ug/L",2.801,8025.188
"|-","Ag",107,2.000008,"ug/L",0.860,19144.137
"| ","Cd",111,10.016170,"ug/L",0.194,21026.697
"|>","In",115,,"ug/L",,402388.606
"| ","Sb",123,2.019865,"ug/L",2.019,10398.882
"|-","Ba",137,40.067678,"ug/L",1.021,171672.444
"|-","Tl",205,10.011742,"ug/L",0.558,370793.103
"| ","Pb",208,10.029108,"ug/L",0.518,511644.406
"|>","Bi",209,,"ug/L",,507381.480
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 7@2308565"
"Sample Date/Time:","Wednesday, December 06, 2023 09:57:22"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,725758.918
"| ","Be",9,49.989179,"ug/L",1.128,39405.219
"|-","Al",27,499.945520,"ug/L",1.473,5088751.481
"|-","V",51,50.060446,"ug/L",0.930,586421.341
"| ","Cr",52,49.987181,"ug/L",0.598,544832.148
"| ","Mn",55,49.987808,"ug/L",0.643,960794.478
"| ","Fe",57,1000.207061,"ug/L",1.289,389350.352
"| ","Co",59,50.031577,"ug/L",0.518,659410.639
"| ","Ni",60,50.043470,"ug/L",1.327,131143.210
"| ","Cu",63,100.060782,"ug/L",0.630,548892.811
"| ","Zn",66,97.421024,"ug/L",0.991,145926.964
"| ","As",75,50.033597,"ug/L",0.819,70543.941
"| ","Se",82,20.015052,"ug/L",2.185,3327.624
"|>","Ge",74,,"ug/L",,330741.135
"|-","Mo",97,20.013312,"ug/L",1.177,40445.359
"|-","Ag",107,10.009740,"ug/L",0.958,99070.910
"| ","Cd",111,50.001180,"ug/L",1.505,106332.436
"|>","In",115,,"ug/L",,408407.221
"| ","Sb",123,10.006511,"ug/L",1.610,52220.112
"|-","Ba",137,199.930405,"ug/L",2.057,863006.129
"|-","Tl",205,49.954845,"ug/L",0.439,1838863.910
"| ","Pb",208,49.976876,"ug/L",0.688,2555155.288
"|>","Bi",209,,"ug/L",,513611.593
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 8@2308566"
"Sample Date/Time:","Wednesday, December 06, 2023 10:00:34"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,725702.277
"| ","Be",9,100.137468,"ug/L",0.781,79323.569
"|-","Al",27,1001.161163,"ug/L",0.617,10181328.226
"|-","V",51,99.875437,"ug/L",0.205,1183461.167
"| ","Cr",52,99.873853,"ug/L",0.848,1080229.144
"| ","Mn",55,99.630653,"ug/L",1.713,1901114.981
"| ","Fe",57,1998.239649,"ug/L",1.781,776452.409
"| ","Co",59,99.621035,"ug/L",1.299,1303710.809
"| ","Ni",60,99.924395,"ug/L",1.511,262824.615
"| ","Cu",63,199.688069,"ug/L",1.526,1096565.014
"| ","Zn",66,198.819552,"ug/L",1.352,293038.070
"| ","As",75,100.170871,"ug/L",0.516,143863.134
"| ","Se",82,40.103045,"ug/L",1.049,6778.870
"|>","Ge",74,,"ug/L",,333171.462
"|-","Mo",97,39.999610,"ug/L",1.132,81371.359
"|-","Ag",107,20.070710,"ug/L",0.699,200175.580
"| ","Cd",111,100.260545,"ug/L",0.664,214058.740
"|>","In",115,,"ug/L",,406020.947
"| ","Sb",123,20.157395,"ug/L",2.185,107591.485
"|-","Ba",137,400.417099,"ug/L",0.414,1725406.466
"|-","Tl",205,100.080689,"ug/L",0.595,3681459.548
"| ","Pb",208,99.917330,"ug/L",0.210,5073213.307
"|>","Bi",209,,"ug/L",,511725.732
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 9@2308567"
"Sample Date/Time:","Wednesday, December 06, 2023 10:03:46"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,710822.207
"| ","Be",9,500.206947,"ug/L",1.645,391174.724
"|-","Al",27,5005.293495,"ug/L",1.979,50700204.946
"|-","V",51,500.220799,"ug/L",1.136,5905972.061
"| ","Cr",52,500.004766,"ug/L",0.823,5260394.497
"| ","Mn",55,500.744073,"ug/L",0.236,9650720.452
"| ","Fe",57,10000.815877,"ug/L",0.331,3799498.103
"| ","Co",59,499.926492,"ug/L",0.288,6397194.912
"| ","Ni",60,499.527660,"ug/L",0.647,1264107.592
"| ","Cu",63,999.310317,"ug/L",1.069,5307772.744
"| ","Zn",66,999.644146,"ug/L",0.835,1433356.616
"| ","As",75,500.238009,"ug/L",0.616,713804.407
"| ","Se",82,200.190909,"ug/L",1.349,33802.140
"|>","Ge",74,,"ug/L",,326720.389
"|-","Mo",97,200.280407,"ug/L",0.325,410756.878
"|-","Ag",107,99.894636,"ug/L",1.039,971454.999
"| ","Cd",111,499.858313,"ug/L",0.422,1056277.632
"|>","In",115,,"ug/L",,404197.273
"| ","Sb",123,100.174026,"ug/L",2.849,550500.120
"|-","Ba",137,2000.336821,"ug/L",0.833,8608966.036
"|-","Tl",205,501.030460,"ug/L",1.044,18532000.972
"| ","Pb",208,500.809518,"ug/L",1.652,25336104.181
"|>","Bi",209,,"ug/L",,493586.402
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICV@23J1152"
"Sample Date/Time:","Wednesday, December 06, 2023 10:10:55"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,677404.168
"| ","Be",9,110.411053,"ug/L",0.789,82312.640
"|-","Al",27,2075.299074,"ug/L",0.834,20065671.546
"|-","V",51,99.775956,"ug/L",0.456,1165714.305
"| ","Cr",52,99.771405,"ug/L",0.164,1054860.944
"| ","Mn",55,96.822426,"ug/L",1.346,1860549.679
"| ","Fe",57,2008.530832,"ug/L",1.230,764003.210
"| ","Co",59,101.965380,"ug/L",0.586,1300386.542
"| ","Ni",60,104.125714,"ug/L",0.337,262754.837
"| ","Cu",63,206.745173,"ug/L",1.031,1094634.126
"| ","Zn",66,230.192849,"ug/L",0.663,329211.333
"| ","As",75,111.493399,"ug/L",0.864,158058.875
"| ","Se",82,114.146915,"ug/L",1.183,19210.599
"|>","Ge",74,,"ug/L",,325606.680
"|-","Mo",97,97.345541,"ug/L",1.317,198991.762
"|-","Ag",107,41.405645,"ug/L",1.055,390445.750
"| ","Cd",111,110.130769,"ug/L",0.209,225692.855
"|>","In",115,,"ug/L",,391915.585
"| ","Sb",123,46.243820,"ug/L",0.865,246521.007
"|-","Ba",137,507.433927,"ug/L",1.619,2117507.347
"|-","Tl",205,102.247064,"ug/L",0.615,3787257.386
"| ","Pb",208,99.930126,"ug/L",1.133,5062788.795
"|>","Bi",209,,"ug/L",,494256.578
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICB@2308559"
"Sample Date/Time:","Wednesday, December 06, 2023 10:15:58"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,666574.130
"| ","Be",9,-0.008678,"ug/L",124.294,14.000
"|-","Al",27,-0.098183,"ug/L",47.642,48192.067
"|-","V",51,-0.163684,"ug/L",47.733,-11913.303
"| ","Cr",52,0.010890,"ug/L",110.147,10715.315
"| ","Mn",55,0.007456,"ug/L",13.998,1159.407
"| ","Fe",57,0.431790,"ug/L",96.393,4417.074
"| ","Co",59,0.003461,"ug/L",10.522,98.667
"| ","Ni",60,-0.006325,"ug/L",126.649,168.668
"| ","Cu",63,0.019922,"ug/L",24.769,419.010
"| ","Zn",66,0.202684,"ug/L",165.264,615.362
"| ","As",75,-0.005187,"ug/L",6638.601,-616.461
"| ","Se",82,0.352816,"ug/L",15.049,62.367
"|>","Ge",74,,"ug/L",,315346.973
"|-","Mo",97,0.265717,"ug/L",8.657,575.886
"|-","Ag",107,0.001050,"ug/L",54.489,29.000
"| ","Cd",111,0.000579,"ug/L",767.843,57.013
"|>","In",115,,"ug/L",,382597.165
"| ","Sb",123,0.272174,"ug/L",1.788,1593.152
"|-","Ba",137,0.016024,"ug/L",20.093,136.239
"|-","Tl",205,0.003291,"ug/L",15.052,402.676
"| ","Pb",208,0.002810,"ug/L",32.225,714.011
"|>","Bi",209,,"ug/L",,483785.425
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-LCV@23K0302"
"Sample Date/Time:","Wednesday, December 06, 2023 10:28:50"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,630842.939
"| ","Be",9,0.432702,"ug/L",2.506,319.672
"|-","Al",27,46.892236,"ug/L",0.255,467700.051
"|-","V",51,9.607826,"ug/L",1.742,97757.595
"| ","Cr",52,4.665041,"ug/L",1.357,56786.157
"| ","Mn",55,4.664206,"ug/L",0.769,86121.028
"| ","Fe",57,45.403199,"ug/L",2.001,20494.075
"| ","Co",59,0.976299,"ug/L",1.238,11886.100
"| ","Ni",60,4.915959,"ug/L",1.504,11959.863
"| ","Cu",63,4.927506,"ug/L",1.873,25094.259
"| ","Zn",66,10.877222,"ug/L",0.722,15098.529
"| ","As",75,1.001873,"ug/L",33.728,754.625
"| ","Se",82,5.238254,"ug/L",2.455,842.326
"|>","Ge",74,,"ug/L",,309415.151
"|-","Mo",97,0.954168,"ug/L",0.797,1901.806
"|-","Ag",107,0.193114,"ug/L",2.147,1742.834
"| ","Cd",111,0.209222,"ug/L",1.725,460.102
"|>","In",115,,"ug/L",,371112.205
"| ","Sb",123,0.854518,"ug/L",5.079,4484.369
"|-","Ba",137,9.756548,"ug/L",0.871,38625.800
"|-","Tl",205,0.188055,"ug/L",1.600,6914.630
"| ","Pb",208,0.475433,"ug/L",0.926,23513.899
"|>","Bi",209,,"ug/L",,471014.084
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICV@23J1152"
"Sample Date/Time:","Wednesday, December 06, 2023 10:33:37"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,654583.874
"| ","Be",9,113.617070,"ug/L",0.557,81850.171
"|-","Al",27,2130.593652,"ug/L",0.611,19905254.981
"|-","V",51,101.296238,"ug/L",1.377,1161791.158
"| ","Cr",52,100.971927,"ug/L",1.651,1047694.938
"| ","Mn",55,98.744551,"ug/L",0.933,1862521.062
"| ","Fe",57,2032.236237,"ug/L",0.418,758756.628
"| ","Co",59,103.274118,"ug/L",0.672,1292839.638
"| ","Ni",60,105.068717,"ug/L",0.777,260253.512
"| ","Cu",63,208.823854,"ug/L",0.553,1085321.775
"| ","Zn",66,235.253128,"ug/L",0.526,330254.250
"| ","As",75,113.661193,"ug/L",1.631,158165.031
"| ","Se",82,115.719502,"ug/L",2.086,19114.463
"|>","Ge",74,,"ug/L",,319630.041
"|-","Mo",97,98.935781,"ug/L",1.857,198501.027
"|-","Ag",107,40.492807,"ug/L",1.369,374709.871
"| ","Cd",111,112.773208,"ug/L",0.989,226791.972
"|>","In",115,,"ug/L",,384632.158
"| ","Sb",123,46.752495,"ug/L",1.431,244576.665
"|-","Ba",137,508.177015,"ug/L",1.543,2081011.996
"|-","Tl",205,104.228406,"ug/L",1.917,3810235.115
"| ","Pb",208,100.968797,"ug/L",1.527,5049232.032
"|>","Bi",209,,"ug/L",,487879.817
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-CCV@2308565"
"Sample Date/Time:","Wednesday, December 06, 2023 10:38:15"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,669346.932
"| ","Be",9,49.764119,"ug/L",1.059,36672.833
"|-","Al",27,496.522043,"ug/L",0.720,4781612.448
"|-","V",51,49.627320,"ug/L",0.695,555504.123
"| ","Cr",52,49.301615,"ug/L",1.041,509293.605
"| ","Mn",55,49.062543,"ug/L",0.737,911919.459
"| ","Fe",57,1001.341710,"ug/L",0.158,370357.298
"| ","Co",59,50.434851,"ug/L",0.437,621852.917
"| ","Ni",60,50.536685,"ug/L",0.557,123380.288
"| ","Cu",63,101.358510,"ug/L",0.225,518980.523
"| ","Zn",66,100.135534,"ug/L",1.001,138635.777
"| ","As",75,49.464560,"ug/L",0.703,67450.558
"| ","Se",82,19.893194,"ug/L",1.338,3240.547
"|>","Ge",74,,"ug/L",,314784.208
"|-","Mo",97,19.705035,"ug/L",1.758,38979.238
"|-","Ag",107,9.917716,"ug/L",1.515,93427.009
"| ","Cd",111,49.991074,"ug/L",0.816,102357.927
"|>","In",115,,"ug/L",,391451.335
