"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Friday, December 08, 2023 09:09:43"
"Sample Description:"
"Batch ID:","12/08/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"| ","Cr",52,,"ug/L",,21884.651
"| ","Mn",55,,"ug/L",,1417.110
"| ","Fe",57,,"ug/L",,8594.729
"| ","Co",59,,"ug/L",,76.667
"| ","Ni",60,,"ug/L",,59.000
"| ","Cu",63,,"ug/L",,353.340
"| ","Zn",66,,"ug/L",,826.704
"| ","As",75,,"ug/L",,-2029.474
"| ","Se",82,,"ug/L",,6.769
"|>","Ge",74,,"ug/L",,507610.910
"|-","Mo",97,,"ug/L",,50.347
"|-","Ag",107,,"ug/L",,35.667
"| ","Cd",111,,"ug/L",,77.126
"|>","In",115,,"ug/L",,537537.812
"| ","Sb",123,,"ug/L",,313.134
"|-","Ba",137,,"ug/L",,107.114
"|-","Tl",205,,"ug/L",,141.334
"| ","Pb",208,,"ug/L",,655.342
"|>","Bi",209,,"ug/L",,652039.040
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Friday, December 08, 2023 09:16:11"
"Sample Description:"
"Batch ID:","12/08/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,755757.077
"| ","Be",9,,"ug/L",,22.000
"|-","Al",27,,"ug/L",,72391.764
"|-","V",51,,"ug/L",,-23882.062
"| ","Cr",52,,"ug/L",,21936.774
"| ","Mn",55,,"ug/L",,1567.135
"| ","Fe",57,,"ug/L",,8536.674
"| ","Co",59,,"ug/L",,68.334
"| ","Ni",60,,"ug/L",,56.667
"| ","Cu",63,,"ug/L",,369.007
"| ","Zn",66,,"ug/L",,801.702
"| ","As",75,,"ug/L",,-2095.829
"| ","Se",82,,"ug/L",,-6.929
"|>","Ge",74,,"ug/L",,507798.693
"|-","Mo",97,,"ug/L",,45.059
"|-","Ag",107,,"ug/L",,31.667
"| ","Cd",111,,"ug/L",,81.863
"|>","In",115,,"ug/L",,532844.468
"| ","Sb",123,,"ug/L",,276.917
"|-","Ba",137,,"ug/L",,95.770
"|-","Tl",205,,"ug/L",,111.667
"| ","Pb",208,,"ug/L",,606.341
"|>","Bi",209,,"ug/L",,645026.980
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 1@2308559"
"Sample Date/Time:","Friday, December 08, 2023 09:19:25"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,754852.978
"| ","Be",9,,"ug/L",,35.000
"|-","Al",27,,"ug/L",,41707.824
"|-","V",51,,"ug/L",,-25111.203
"| ","Cr",52,,"ug/L",,22267.246
"| ","Mn",55,,"ug/L",,1187.744
"| ","Fe",57,,"ug/L",,8529.667
"| ","Co",59,,"ug/L",,77.667
"| ","Ni",60,,"ug/L",,47.667
"| ","Cu",63,,"ug/L",,201.002
"| ","Zn",66,,"ug/L",,570.351
"| ","As",75,,"ug/L",,-1915.406
"| ","Se",82,,"ug/L",,-8.619
"|>","Ge",74,,"ug/L",,501294.993
"|-","Mo",97,,"ug/L",,49.132
"|-","Ag",107,,"ug/L",,30.333
"| ","Cd",111,,"ug/L",,69.370
"|>","In",115,,"ug/L",,532357.365
"| ","Sb",123,,"ug/L",,239.363
"|-","Ba",137,,"ug/L",,80.396
"|-","Tl",205,,"ug/L",,105.334
"| ","Pb",208,,"ug/L",,393.003
"|>","Bi",209,,"ug/L",,640292.033
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 2@2308560"
"Sample Date/Time:","Friday, December 08, 2023 09:22:38"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,770571.867
"| ","Be",9,0.200000,"ug/L",7.643,200.002
"|-","Al",27,,"ug/L",,36229.390
"|-","V",51,,"ug/L",,-25437.615
"| ","Cr",52,,"ug/L",,25300.172
"| ","Mn",55,,"ug/L",,6384.576
"| ","Fe",57,,"ug/L",,10524.090
"| ","Co",59,,"ug/L",,4169.623
"| ","Ni",60,,"ug/L",,903.712
"| ","Cu",63,,"ug/L",,3732.433
"| ","Zn",66,,"ug/L",,1320.763
"| ","As",75,,"ug/L",,-1618.931
"| ","Se",82,,"ug/L",,17.397
"|>","Ge",74,,"ug/L",,498413.714
"|-","Mo",97,,"ug/L",,276.392
"|-","Ag",107,,"ug/L",,562.351
"| ","Cd",111,0.200000,"ug/L",10.221,624.899
"|>","In",115,,"ug/L",,538237.907
"| ","Sb",123,,"ug/L",,485.810
"|-","Ba",137,,"ug/L",,4516.979
"|-","Tl",205,0.200000,"ug/L",0.465,8910.031
"| ","Pb",208,,"ug/L",,12532.733
"|>","Bi",209,,"ug/L",,646177.998
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 3@2308561"
"Sample Date/Time:","Friday, December 08, 2023 09:25:53"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,765609.331
"| ","Be",9,0.518301,"ug/L",37.631,583.354
"|-","Al",27,,"ug/L",,78994.206
"|-","V",51,,"ug/L",,-19480.588
"| ","Cr",52,,"ug/L",,29534.576
"| ","Mn",55,,"ug/L",,14102.264
"| ","Fe",57,,"ug/L",,13709.335
"| ","Co",59,,"ug/L",,10175.695
"| ","Ni",60,,"ug/L",,2155.255
"| ","Cu",63,1.000000,"ug/L",1.685,9132.252
"| ","Zn",66,,"ug/L",,2611.042
"| ","As",75,0.500000,"ug/L",27.923,-1061.609
"| ","Se",82,,"ug/L",,52.733
"|>","Ge",74,,"ug/L",,491371.538
"|-","Mo",97,,"ug/L",,596.741
"|-","Ag",107,,"ug/L",,1351.767
"| ","Cd",111,0.500330,"ug/L",0.702,1443.598
"|>","In",115,,"ug/L",,530785.089
"| ","Sb",123,,"ug/L",,796.671
"|-","Ba",137,,"ug/L",,11025.292
"|-","Tl",205,0.502496,"ug/L",1.159,22510.841
"| ","Pb",208,0.500000,"ug/L",1.413,30856.555
"|>","Bi",209,,"ug/L",,634118.263
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 4@2308562"
"Sample Date/Time:","Friday, December 08, 2023 09:29:06"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,763506.523
"| ","Be",9,0.949836,"ug/L",0.870,890.044
"|-","Al",27,,"ug/L",,152087.006
"|-","V",51,,"ug/L",,-11100.930
"| ","Cr",52,1.000000,"ug/L",1.320,36415.803
"| ","Mn",55,1.000000,"ug/L",0.929,26430.375
"| ","Fe",57,20.000000,"ug/L",3.411,18768.031
"| ","Co",59,1.000000,"ug/L",0.648,19680.614
"| ","Ni",60,,"ug/L",,4118.933
"| ","Cu",63,1.988876,"ug/L",1.013,17462.089
"| ","Zn",66,,"ug/L",,4728.229
"| ","As",75,1.048171,"ug/L",22.232,241.717
"| ","Se",82,,"ug/L",,101.747
"|>","Ge",74,,"ug/L",,488036.161
"|-","Mo",97,0.400000,"ug/L",4.041,1071.447
"|-","Ag",107,0.200000,"ug/L",0.464,2666.391
"| ","Cd",111,0.992313,"ug/L",2.049,2716.232
"|>","In",115,,"ug/L",,529166.408
"| ","Sb",123,,"ug/L",,1404.187
"|-","Ba",137,4.000000,"ug/L",1.492,21566.405
"|-","Tl",205,0.994560,"ug/L",0.479,43553.416
"| ","Pb",208,0.995763,"ug/L",0.762,59942.307
"|>","Bi",209,,"ug/L",,632965.774
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 5@2308563"
"Sample Date/Time:","Friday, December 08, 2023 09:32:20"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,751322.000
"| ","Be",9,4.998760,"ug/L",1.153,4439.084
"|-","Al",27,50.000000,"ug/L",1.361,710926.399
"|-","V",51,5.000000,"ug/L",3.393,57982.158
"| ","Cr",52,5.002981,"ug/L",1.093,94950.697
"| ","Mn",55,5.005271,"ug/L",0.548,128938.970
"| ","Fe",57,100.095952,"ug/L",0.553,60939.914
"| ","Co",59,5.002518,"ug/L",0.049,97786.807
"| ","Ni",60,5.000000,"ug/L",0.373,20638.737
"| ","Cu",63,10.016911,"ug/L",0.666,88732.946
"| ","Zn",66,10.000000,"ug/L",1.245,22110.864
"| ","As",75,5.018640,"ug/L",3.509,8899.451
"| ","Se",82,,"ug/L",,489.706
"|>","Ge",74,,"ug/L",,480090.855
"|-","Mo",97,2.002170,"ug/L",2.936,5227.856
"|-","Ag",107,1.000839,"ug/L",1.661,13390.188
"| ","Cd",111,5.005105,"ug/L",1.142,13575.637
"|>","In",115,,"ug/L",,524728.244
"| ","Sb",123,1.000000,"ug/L",2.858,6295.005
"|-","Ba",137,20.015717,"ug/L",1.677,108806.806
"|-","Tl",205,5.001603,"ug/L",0.164,218336.936
"| ","Pb",208,5.003079,"ug/L",0.146,301074.610
"|>","Bi",209,,"ug/L",,628234.948
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 6@2308564"
"Sample Date/Time:","Friday, December 08, 2023 09:35:34"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,758375.934
"| ","Be",9,10.000475,"ug/L",1.007,8932.056
"|-","Al",27,99.820083,"ug/L",0.274,1381214.307
"|-","V",51,10.023412,"ug/L",3.448,141647.332
"| ","Cr",52,10.011367,"ug/L",1.838,168953.261
"| ","Mn",55,9.994655,"ug/L",0.899,255290.835
"| ","Fe",57,200.264436,"ug/L",0.756,114051.984
"| ","Co",59,10.014889,"ug/L",0.691,196413.599
"| ","Ni",60,9.987819,"ug/L",0.775,40897.461
"| ","Cu",63,19.951774,"ug/L",0.864,174591.406
"| ","Zn",66,19.995591,"ug/L",0.482,43534.659
"| ","As",75,10.043611,"ug/L",1.929,19969.532
"| ","Se",82,4.000000,"ug/L",3.723,972.126
"|>","Ge",74,,"ug/L",,479097.477
"|-","Mo",97,4.019753,"ug/L",1.910,10626.443
"|-","Ag",107,2.000007,"ug/L",0.768,26675.418
"| ","Cd",111,10.008645,"ug/L",0.956,27116.544
"|>","In",115,,"ug/L",,523667.872
"| ","Sb",123,2.006969,"ug/L",0.949,12540.475
"|-","Ba",137,40.130336,"ug/L",1.254,220393.669
"|-","Tl",205,9.993433,"ug/L",1.406,438973.849
"| ","Pb",208,10.000828,"ug/L",0.870,607076.978
"|>","Bi",209,,"ug/L",,633955.416
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 7@2308565"
"Sample Date/Time:","Friday, December 08, 2023 09:38:49"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,780832.372
"| ","Be",9,49.996588,"ug/L",1.361,45761.240
"|-","Al",27,498.331758,"ug/L",2.401,6495304.859
"|-","V",51,49.970073,"ug/L",0.393,805082.035
"| ","Cr",52,49.967992,"ug/L",0.678,761507.390
"| ","Mn",55,49.957731,"ug/L",1.359,1271320.356
"| ","Fe",57,999.703366,"ug/L",0.970,542570.277
"| ","Co",59,49.975756,"ug/L",1.126,986593.240
"| ","Ni",60,49.984995,"ug/L",0.825,206648.350
"| ","Cu",63,99.953506,"ug/L",0.350,880266.929
"| ","Zn",66,99.968003,"ug/L",0.246,217660.745
"| ","As",75,50.005028,"ug/L",0.659,108705.039
"| ","Se",82,20.003489,"ug/L",1.658,4996.788
"|>","Ge",74,,"ug/L",,487044.703
"|-","Mo",97,19.997117,"ug/L",0.472,53396.806
"|-","Ag",107,9.999862,"ug/L",0.952,135491.750
"| ","Cd",111,49.984732,"ug/L",0.538,136607.429
"|>","In",115,,"ug/L",,532552.003
"| ","Sb",123,10.011540,"ug/L",1.651,64146.643
"|-","Ba",137,199.757111,"ug/L",1.458,1089120.591
"|-","Tl",205,49.857352,"ug/L",1.821,2108262.617
"| ","Pb",208,49.961084,"ug/L",1.203,3036473.001
"|>","Bi",209,,"ug/L",,644856.231
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 8@2308566"
"Sample Date/Time:","Friday, December 08, 2023 09:42:03"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,790235.174
"| ","Be",9,99.024928,"ug/L",1.433,88419.759
"|-","Al",27,991.748616,"ug/L",1.055,12646146.571
"|-","V",51,98.920389,"ug/L",0.574,1566692.142
"| ","Cr",52,99.041579,"ug/L",0.269,1449266.553
"| ","Mn",55,98.865285,"ug/L",0.910,2432266.266
"| ","Fe",57,1986.604414,"ug/L",0.325,1052930.933
"| ","Co",59,98.846891,"ug/L",0.247,1885935.991
"| ","Ni",60,99.322384,"ug/L",0.510,403812.205
"| ","Cu",63,197.651336,"ug/L",0.494,1680833.465
"| ","Zn",66,198.663026,"ug/L",0.225,425043.441
"| ","As",75,99.462469,"ug/L",0.728,215541.356
"| ","Se",82,39.579079,"ug/L",1.359,9595.515
"|>","Ge",74,,"ug/L",,491395.215
"|-","Mo",97,39.781775,"ug/L",1.145,104951.748
"|-","Ag",107,20.012728,"ug/L",1.593,273089.771
"| ","Cd",111,99.379579,"ug/L",1.107,266528.078
"|>","In",115,,"ug/L",,535137.771
"| ","Sb",123,20.014037,"ug/L",1.351,128933.327
"|-","Ba",137,396.441655,"ug/L",0.535,2100844.931
"|-","Tl",205,99.495105,"ug/L",1.132,4159159.497
"| ","Pb",208,98.990002,"ug/L",0.536,5836971.500
"|>","Bi",209,,"ug/L",,649723.292
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 9@2308567"
"Sample Date/Time:","Friday, December 08, 2023 09:45:16"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,784282.943
"| ","Be",9,479.023491,"ug/L",1.500,231784.197
"|-","Al",27,4792.297685,"ug/L",1.932,33199255.100
"|-","V",51,478.434615,"ug/L",1.132,4088558.167
"| ","Cr",52,478.417671,"ug/L",1.246,3705215.654
"| ","Mn",55,478.961331,"ug/L",1.740,6366702.360
"| ","Fe",57,9561.654105,"ug/L",0.883,2675016.019
"| ","Co",59,478.287670,"ug/L",0.300,4861338.389
"| ","Ni",60,478.201671,"ug/L",1.098,1033744.036
"| ","Cu",63,956.779754,"ug/L",0.315,4343922.558
"| ","Zn",66,956.594086,"ug/L",0.492,1089647.632
"| ","As",75,478.380848,"ug/L",0.716,556371.492
"| ","Se",82,191.735173,"ug/L",0.586,25319.450
"|>","Ge",74,,"ug/L",,486879.646
"|-","Mo",97,191.708339,"ug/L",0.547,275110.615
"|-","Ag",107,95.444193,"ug/L",1.084,688119.069
"| ","Cd",111,478.722178,"ug/L",0.700,700248.755
"|>","In",115,,"ug/L",,537828.497
"| ","Sb",123,95.988753,"ug/L",1.354,346017.997
"|-","Ba",137,1915.315343,"ug/L",1.038,5548402.010
"|-","Tl",205,479.040078,"ug/L",0.513,10932561.767
"| ","Pb",208,478.338583,"ug/L",0.496,15167050.398
"|>","Bi",209,,"ug/L",,649086.023
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 9@2308567"
"Sample Date/Time:","Friday, December 08, 2023 09:54:47"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,787208.574
"| ","Be",9,499.904276,"ug/L",1.640,442641.191
"|-","Al",27,5000.013071,"ug/L",1.054,63328118.220
"|-","V",51,500.807278,"ug/L",0.781,7995724.012
"| ","Cr",52,500.934190,"ug/L",0.564,7245573.237
"| ","Mn",55,501.397554,"ug/L",1.529,12577724.000
"| ","Fe",57,10010.997495,"ug/L",1.418,5192325.044
"| ","Co",59,500.918217,"ug/L",0.950,9555306.361
"| ","Ni",60,499.980693,"ug/L",0.372,1956917.407
"| ","Cu",63,1001.439658,"ug/L",0.751,8446845.039
"| ","Zn",66,1002.229500,"ug/L",0.199,2159333.408
"| ","As",75,500.468246,"ug/L",0.484,1072229.395
"| ","Se",82,200.487167,"ug/L",0.389,49244.471
"|>","Ge",74,,"ug/L",,473498.564
"|-","Mo",97,200.584394,"ug/L",0.864,540965.203
"|-","Ag",107,99.822462,"ug/L",0.662,1317081.655
"| ","Cd",111,500.345887,"ug/L",1.033,1361830.335
"|>","In",115,,"ug/L",,535666.495
"| ","Sb",123,100.274645,"ug/L",0.749,682868.717
"|-","Ba",137,2003.649188,"ug/L",0.738,11027297.794
"|-","Tl",205,501.373163,"ug/L",0.693,22076924.759
"| ","Pb",208,500.891151,"ug/L",0.449,30494059.862
"|>","Bi",209,,"ug/L",,647145.599
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICV@23J1152"
"Sample Date/Time:","Friday, December 08, 2023 09:58:06"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,780470.430
"| ","Be",9,101.428642,"ug/L",1.987,89108.802
"|-","Al",27,1982.151519,"ug/L",1.063,24920204.259
"|-","V",51,100.005642,"ug/L",0.169,1546608.278
"| ","Cr",52,99.001579,"ug/L",0.548,1420211.475
"| ","Mn",55,99.395908,"ug/L",0.814,2445197.906
"| ","Fe",57,2029.509794,"ug/L",0.568,1038372.271
"| ","Co",59,99.976490,"ug/L",0.300,1869832.299
"| ","Ni",60,102.738917,"ug/L",0.655,394255.403
"| ","Cu",63,197.915669,"ug/L",0.300,1636577.362
"| ","Zn",66,198.636905,"ug/L",0.448,419963.521
"| ","As",75,102.275768,"ug/L",0.970,213426.845
"| ","Se",82,100.029197,"ug/L",0.470,24084.128
"|>","Ge",74,,"ug/L",,464186.142
"|-","Mo",97,99.649230,"ug/L",1.399,263515.690
"|-","Ag",107,40.982592,"ug/L",0.286,521812.325
"| ","Cd",111,103.697751,"ug/L",0.702,272392.372
"|>","In",115,,"ug/L",,516863.193
"| ","Sb",123,46.173217,"ug/L",0.804,303479.951
"|-","Ba",137,501.983572,"ug/L",0.412,2665719.538
"|-","Tl",205,102.578131,"ug/L",0.154,4447703.236
"| ","Pb",208,100.911444,"ug/L",0.593,6049873.875
"|>","Bi",209,,"ug/L",,637253.162
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICB@2308559"
"Sample Date/Time:","Friday, December 08, 2023 10:08:59"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,721294.900
"| ","Be",9,-0.024346,"ug/L",8.878,13.667
"|-","Al",27,-0.483537,"ug/L",2.859,34246.737
"|-","V",51,0.041349,"ug/L",255.798,-20854.968
"| ","Cr",52,-0.192896,"ug/L",11.048,16507.982
"| ","Mn",55,0.001580,"ug/L",87.226,1050.394
"| ","Fe",57,-0.741273,"ug/L",70.444,6938.983
"| ","Co",59,0.003038,"ug/L",49.691,118.667
"| ","Ni",60,0.008375,"ug/L",17.789,70.334
"| ","Cu",63,0.018411,"ug/L",13.170,312.005
"| ","Zn",66,-0.022664,"ug/L",24.817,443.011
"| ","As",75,0.291536,"ug/L",27.109,-1068.918
"| ","Se",82,0.371046,"ug/L",5.465,75.064
"|>","Ge",74,,"ug/L",,428255.334
"|-","Mo",97,0.235905,"ug/L",15.855,618.222
"|-","Ag",107,0.001753,"ug/L",55.665,47.667
"| ","Cd",111,0.003158,"ug/L",100.981,69.773
"|>","In",115,,"ug/L",,476982.361
"| ","Sb",123,0.357434,"ug/L",12.995,2383.655
"|-","Ba",137,0.013719,"ug/L",53.758,138.914
"|-","Tl",205,0.005898,"ug/L",15.106,337.006
"| ","Pb",208,0.002219,"ug/L",23.649,490.005
"|>","Bi",209,,"ug/L",,595863.832
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-LCV@23K0302"
"Sample Date/Time:","Friday, December 08, 2023 10:15:37"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,729510.342
"| ","Be",9,0.416320,"ug/L",6.884,375.341
"|-","Al",27,51.320397,"ug/L",1.959,642295.277
"|-","V",51,10.920301,"ug/L",2.360,136392.626
"| ","Cr",52,5.101698,"ug/L",0.514,85355.542
"| ","Mn",55,5.365610,"ug/L",0.288,122434.391
"| ","Fe",57,52.678079,"ug/L",0.874,31884.153
"| ","Co",59,1.093905,"ug/L",1.158,18896.292
"| ","Ni",60,5.537852,"ug/L",0.360,19596.433
"| ","Cu",63,5.405359,"ug/L",0.352,41301.950
"| ","Zn",66,10.781409,"ug/L",0.199,21438.585
"| ","As",75,1.548821,"ug/L",2.309,1366.495
"| ","Se",82,5.398098,"ug/L",1.472,1189.203
"|>","Ge",74,,"ug/L",,427205.022
"|-","Mo",97,1.155671,"ug/L",1.108,2854.019
"|-","Ag",107,0.217474,"ug/L",3.278,2613.376
"| ","Cd",111,0.219773,"ug/L",3.770,601.912
"|>","In",115,,"ug/L",,482671.696
"| ","Sb",123,1.085178,"ug/L",4.468,6874.716
"|-","Ba",137,10.923054,"ug/L",0.756,54242.905
"|-","Tl",205,0.227151,"ug/L",1.270,9223.678
"| ","Pb",208,0.555863,"ug/L",0.960,31240.063
"|>","Bi",209,,"ug/L",,590479.311
"QC Calculated Values"
"DLZ - Summary Report"
