"DLZ - Summary Report"
"Sample ID:","Cal std 1@2305748"
"Sample Date/Time:","Monday, November 06, 2023 09:58:47"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","In",115,,"ug/L",,490208.802
"| ","Sb",123,0.022548,"ug/L",37.823,463.984
"|-","Ba",137,0.740095,"ug/L",2.745,3370.519
"|-","Tl",205,0.186021,"ug/L",1.886,6628.751
"| ","Pb",208,0.183908,"ug/L",0.975,9495.619
"|>","Bi",209,,"ug/L",,499371.076
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 3@2305741"
"Sample Date/Time:","Monday, November 06, 2023 10:05:28"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,608751.638
"| ","Be",9,0.461344,"ug/L",10.095,309.672
"|-","Al",27,0.083667,"ug/L",92.701,63033.191
"|-","V",51,0.496063,"ug/L",20.259,-1987.298
"| ","Cr",52,0.405438,"ug/L",2.408,22074.776
"| ","Mn",55,0.450958,"ug/L",1.907,10279.476
"| ","Fe",57,8.352833,"ug/L",5.944,8754.880
"| ","Co",59,0.468432,"ug/L",1.620,6942.984
"| ","Ni",60,0.477324,"ug/L",3.947,1495.790
"| ","Cu",63,0.943408,"ug/L",1.395,6733.827
"| ","Zn",66,0.884854,"ug/L",0.630,2184.596
"| ","As",75,0.488237,"ug/L",8.751,-193.504
"| ","Se",82,0.209272,"ug/L",45.433,43.262
"|>","Ge",74,,"ug/L",,433046.909
"|-","Mo",97,0.179433,"ug/L",3.336,514.882
"|-","Ag",107,0.095129,"ug/L",2.144,1195.412
"| ","Cd",111,0.466453,"ug/L",4.797,1255.725
"|>","In",115,,"ug/L",,489615.036
"| ","Sb",123,0.058831,"ug/L",8.210,683.252
"|-","Ba",137,1.846433,"ug/L",0.702,8163.247
"|-","Tl",205,0.468815,"ug/L",1.105,16516.991
"| ","Pb",208,0.464616,"ug/L",0.552,22902.669
"|>","Bi",209,,"ug/L",,497728.690
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 4@2305740"
"Sample Date/Time:","Monday, November 06, 2023 10:08:48"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,605701.155
"| ","Be",9,0.910670,"ug/L",6.404,595.686
"|-","Al",27,5.045965,"ug/L",1.939,121366.822
"|-","V",51,0.921261,"ug/L",5.067,4288.380
"| ","Cr",52,0.900600,"ug/L",3.193,28141.857
"| ","Mn",55,0.924719,"ug/L",0.890,19737.416
"| ","Fe",57,18.014475,"ug/L",1.303,12500.593
"| ","Co",59,0.944203,"ug/L",0.989,13822.172
"| ","Ni",60,0.979441,"ug/L",1.418,2973.487
"| ","Cu",63,1.891034,"ug/L",0.888,13063.715
"| ","Zn",66,1.781242,"ug/L",0.929,3659.403
"| ","As",75,0.999386,"ug/L",14.293,818.817
"| ","Se",82,0.317209,"ug/L",11.491,67.184
"|>","Ge",74,,"ug/L",,429724.792
"|-","Mo",97,0.368304,"ug/L",0.746,988.474
"|-","Ag",107,0.188350,"ug/L",2.096,2343.636
"| ","Cd",111,0.928425,"ug/L",1.326,2447.832
"|>","In",115,,"ug/L",,490863.031
"| ","Sb",123,0.140258,"ug/L",5.323,1179.975
"|-","Ba",137,3.746532,"ug/L",2.654,16441.435
"|-","Tl",205,0.944342,"ug/L",1.075,33063.699
"| ","Pb",208,0.942235,"ug/L",0.319,45599.060
"|>","Bi",209,,"ug/L",,495851.936
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 5@2305743"
"Sample Date/Time:","Monday, November 06, 2023 10:12:10"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,604385.745
"| ","Be",9,4.916321,"ug/L",1.975,3150.546
"|-","Al",27,42.177940,"ug/L",0.765,558999.553
"|-","V",51,4.960602,"ug/L",1.354,63153.923
"| ","Cr",52,4.858140,"ug/L",1.279,77291.585
"| ","Mn",55,4.917508,"ug/L",1.111,99242.898
"| ","Fe",57,98.054687,"ug/L",1.371,43689.761
"| ","Co",59,4.945716,"ug/L",1.297,71501.493
"| ","Ni",60,5.093452,"ug/L",1.077,15043.440
"| ","Cu",63,10.023914,"ug/L",1.108,67272.377
"| ","Zn",66,10.112493,"ug/L",1.862,17376.933
"| ","As",75,5.009633,"ug/L",7.204,8656.994
"| ","Se",82,1.771768,"ug/L",1.861,390.513
"|>","Ge",74,,"ug/L",,426087.601
"|-","Mo",97,1.896247,"ug/L",0.580,4812.214
"|-","Ag",107,0.989904,"ug/L",1.551,11984.896
"| ","Cd",111,5.100407,"ug/L",1.283,12962.061
"|>","In",115,,"ug/L",,482642.679
"| ","Sb",123,0.846733,"ug/L",2.049,5382.169
"|-","Ba",137,19.760783,"ug/L",1.742,84609.486
"|-","Tl",205,4.909373,"ug/L",0.606,170481.421
"| ","Pb",208,4.941329,"ug/L",0.605,234910.054
"|>","Bi",209,,"ug/L",,492834.995
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 6@2305739"
"Sample Date/Time:","Monday, November 06, 2023 10:15:29"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,606141.303
"| ","Be",9,9.641348,"ug/L",1.196,6183.103
"|-","Al",27,87.060188,"ug/L",1.349,1091261.627
"|-","V",51,9.711287,"ug/L",0.872,131678.418
"| ","Cr",52,9.639475,"ug/L",0.177,136199.578
"| ","Mn",55,9.596402,"ug/L",0.736,191543.979
"| ","Fe",57,193.854604,"ug/L",0.386,80691.261
"| ","Co",59,9.708651,"ug/L",0.369,139515.698
"| ","Ni",60,10.053889,"ug/L",0.655,29464.022
"| ","Cu",63,19.590095,"ug/L",0.384,130436.371
"| ","Zn",66,19.736914,"ug/L",0.498,33070.384
"| ","As",75,9.854660,"ug/L",0.901,18031.201
"| ","Se",82,3.969711,"ug/L",6.950,874.310
"|>","Ge",74,,"ug/L",,423732.873
"|-","Mo",97,3.801691,"ug/L",0.642,9538.095
"|-","Ag",107,1.932537,"ug/L",1.388,23451.548
"| ","Cd",111,9.870063,"ug/L",0.494,25118.042
"|>","In",115,,"ug/L",,484319.593
"| ","Sb",123,1.719269,"ug/L",2.517,10637.075
"|-","Ba",137,38.601353,"ug/L",0.789,165737.457
"|-","Tl",205,9.680981,"ug/L",0.891,336050.249
"| ","Pb",208,9.703995,"ug/L",0.709,460605.457
"|>","Bi",209,,"ug/L",,492756.808
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 7@2305744"
"Sample Date/Time:","Monday, November 06, 2023 10:18:49"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,606619.849
"| ","Be",9,51.603459,"ug/L",1.151,33065.735
"|-","Al",27,500.964645,"ug/L",0.737,5991395.462
"|-","V",51,51.022478,"ug/L",1.621,736843.653
"| ","Cr",52,51.179659,"ug/L",0.899,657206.186
"| ","Mn",55,51.078457,"ug/L",1.112,1023182.015
"| ","Fe",57,1032.519199,"ug/L",0.309,410166.351
"| ","Co",59,51.240782,"ug/L",0.184,742175.549
"| ","Ni",60,53.216386,"ug/L",0.385,156951.789
"| ","Cu",63,103.904301,"ug/L",0.639,696185.925
"| ","Zn",66,105.694169,"ug/L",0.488,175572.098
"| ","As",75,53.113966,"ug/L",0.221,103040.454
"| ","Se",82,21.078862,"ug/L",1.841,4702.806
"|>","Ge",74,,"ug/L",,427258.979
"|-","Mo",97,20.390465,"ug/L",0.199,51333.930
"|-","Ag",107,10.783457,"ug/L",0.472,130810.566
"| ","Cd",111,52.979139,"ug/L",0.354,134662.764
"|>","In",115,,"ug/L",,484640.805
"| ","Sb",123,9.596044,"ug/L",2.424,57937.632
"|-","Ba",137,206.467623,"ug/L",0.568,886277.976
"|-","Tl",205,51.595577,"ug/L",0.529,1788300.089
"| ","Pb",208,52.070834,"ug/L",0.380,2465630.515
"|>","Bi",209,,"ug/L",,492126.356
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 8@2305738"
"Sample Date/Time:","Monday, November 06, 2023 10:22:09"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,601121.426
"| ","Be",9,97.313900,"ug/L",1.179,61783.760
"|-","Al",27,957.884944,"ug/L",0.546,11296075.458
"|-","V",51,96.659584,"ug/L",0.386,1390473.195
"| ","Cr",52,97.770007,"ug/L",0.553,1228296.111
"| ","Mn",55,97.339357,"ug/L",0.626,1930016.323
"| ","Fe",57,1962.295623,"ug/L",0.255,767214.826
"| ","Co",59,97.787788,"ug/L",0.210,1402646.353
"| ","Ni",60,100.581155,"ug/L",0.514,293726.931
"| ","Cu",63,196.929152,"ug/L",0.278,1306419.102
"| ","Zn",66,198.770030,"ug/L",0.055,326387.114
"| ","As",75,98.661191,"ug/L",0.740,190527.745
"| ","Se",82,39.044199,"ug/L",0.698,8631.037
"|>","Ge",74,,"ug/L",,423133.783
"|-","Mo",97,39.318563,"ug/L",0.649,97972.562
"|-","Ag",107,20.351179,"ug/L",0.374,246437.288
"| ","Cd",111,99.458523,"ug/L",0.684,252320.069
"|>","In",115,,"ug/L",,483832.250
"| ","Sb",123,18.991310,"ug/L",0.878,114136.096
"|-","Ba",137,389.572107,"ug/L",0.400,1669397.023
"|-","Tl",205,96.707301,"ug/L",0.916,3360592.057
"| ","Pb",208,97.697303,"ug/L",0.853,4637738.782
"|>","Bi",209,,"ug/L",,493408.841
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 9@2305737"
"Sample Date/Time:","Monday, November 06, 2023 10:25:31"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,586582.903
"| ","Be",9,500.385114,"ug/L",1.325,309820.338
"|-","Al",27,5008.663563,"ug/L",1.115,57377865.570
"|-","V",51,500.572004,"ug/L",1.157,7293150.160
"| ","Cr",52,500.336861,"ug/L",1.262,6264150.897
"| ","Mn",55,500.433330,"ug/L",1.082,9991728.857
"| ","Fe",57,10004.435288,"ug/L",1.576,3919050.721
"| ","Co",59,500.324846,"ug/L",1.255,7230204.561
"| ","Ni",60,499.560118,"ug/L",0.180,1469347.566
"| ","Cu",63,1000.231973,"ug/L",0.930,6683599.194
"| ","Zn",66,999.680714,"ug/L",0.626,1650935.577
"| ","As",75,499.959189,"ug/L",0.385,977298.924
"| ","Se",82,200.083880,"ug/L",0.985,44568.649
"|>","Ge",74,,"ug/L",,426276.744
"|-","Mo",97,200.102308,"ug/L",1.230,502069.596
"|-","Ag",107,99.852892,"ug/L",0.632,1216847.165
"| ","Cd",111,499.812159,"ug/L",0.824,1276030.766
"|>","In",115,,"ug/L",,486954.384
"| ","Sb",123,100.249281,"ug/L",1.537,604953.897
"|-","Ba",137,2001.469688,"ug/L",0.705,8631813.370
"|-","Tl",205,500.506417,"ug/L",1.078,17655636.174
"| ","Pb",208,500.260114,"ug/L",1.111,24104319.864
"|>","Bi",209,,"ug/L",,500883.052
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICV@2305747"
"Sample Date/Time:","Monday, November 06, 2023 10:51:16"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,580618.220
"| ","Be",9,104.639138,"ug/L",0.898,64156.612
"|-","Al",27,2130.361256,"ug/L",0.233,24195652.146
"|-","V",51,101.727063,"ug/L",1.021,1500697.584
"| ","Cr",52,101.027547,"ug/L",1.324,1300558.118
"| ","Mn",55,102.950974,"ug/L",3.909,2092573.294
"| ","Fe",57,2032.298604,"ug/L",1.619,814398.433
"| ","Co",59,102.626325,"ug/L",0.909,1509114.804
"| ","Ni",60,105.323434,"ug/L",1.495,315314.136
"| ","Cu",63,204.906976,"ug/L",1.560,1393562.323
"| ","Zn",66,209.616304,"ug/L",0.883,352830.422
"| ","As",75,106.424309,"ug/L",1.211,210794.256
"| ","Se",82,104.502123,"ug/L",0.769,23688.227
"|>","Ge",74,,"ug/L",,433793.311
"|-","Mo",97,104.126557,"ug/L",0.764,265920.600
"|-","Ag",107,42.893799,"ug/L",1.020,527262.069
"| ","Cd",111,105.275645,"ug/L",0.983,271143.793
"|>","In",115,,"ug/L",,491168.004
"| ","Sb",123,45.856483,"ug/L",0.967,279280.670
"|-","Ba",137,517.595193,"ug/L",1.448,2251656.251
"|-","Tl",205,107.402780,"ug/L",0.389,3772109.360
"| ","Pb",208,104.819630,"ug/L",0.405,5028897.530
"|>","Bi",209,,"ug/L",,498690.265
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-ICB@2305748"
"Sample Date/Time:","Monday, November 06, 2023 10:54:37"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,573714.882
"| ","Be",9,0.009551,"ug/L",141.493,18.667
"|-","Al",27,0.207193,"ug/L",23.812,60794.306
"|-","V",51,0.020789,"ug/L",406.244,-8769.229
"| ","Cr",52,-0.129061,"ug/L",19.292,14875.838
"| ","Mn",55,0.003806,"ug/L",39.914,1178.743
"| ","Fe",57,-0.381289,"ug/L",68.886,5139.786
"| ","Co",59,0.007444,"ug/L",29.411,172.335
"| ","Ni",60,0.010435,"ug/L",90.818,97.667
"| ","Cu",63,0.019459,"ug/L",29.627,449.678
"| ","Zn",66,-0.007347,"ug/L",317.870,669.025
"| ","As",75,0.174865,"ug/L",107.742,-791.053
"| ","Se",82,0.245275,"ug/L",26.196,49.806
"|>","Ge",74,,"ug/L",,421092.524
"|-","Mo",97,0.440402,"ug/L",4.567,1146.871
"|-","Ag",107,0.003980,"ug/L",15.500,76.667
"| ","Cd",111,0.001178,"ug/L",191.047,59.991
"|>","In",115,,"ug/L",,476980.254
"| ","Sb",123,0.265359,"ug/L",9.113,1887.430
"|-","Ba",137,0.031761,"ug/L",30.400,286.898
"|-","Tl",205,0.011693,"ug/L",21.773,480.013
"| ","Pb",208,0.007064,"ug/L",29.213,966.687
"|>","Bi",209,,"ug/L",,482757.163
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-LCV@2305745"
"Sample Date/Time:","Monday, November 06, 2023 10:58:35"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,570351.522
"| ","Be",9,0.352130,"ug/L",5.560,225.003
"|-","Al",27,39.367203,"ug/L",2.847,495976.856
"|-","V",51,4.455687,"ug/L",0.950,56045.215
"| ","Cr",52,0.711449,"ug/L",2.769,25650.811
"| ","Mn",55,0.855127,"ug/L",1.185,18260.996
"| ","Fe",57,41.686298,"ug/L",0.094,21744.647
"| ","Co",59,0.875651,"ug/L",0.654,12770.298
"| ","Ni",60,4.578996,"ug/L",1.843,13589.486
"| ","Cu",63,0.866611,"ug/L",1.783,6138.739
"| ","Zn",66,8.819998,"ug/L",1.082,15310.887
"| ","As",75,0.925210,"ug/L",20.186,670.717
"| ","Se",82,4.387310,"ug/L",3.587,977.270
"|>","Ge",74,,"ug/L",,427976.311
"|-","Mo",97,1.041557,"ug/L",1.893,2680.377
"|-","Ag",107,0.186953,"ug/L",1.969,2269.283
"| ","Cd",111,0.173939,"ug/L",3.505,493.923
"|>","In",115,,"ug/L",,478774.026
"| ","Sb",123,0.827393,"ug/L",3.415,5225.313
"|-","Ba",137,8.881138,"ug/L",1.698,37811.367
"|-","Tl",205,0.180248,"ug/L",2.015,6294.846
"| ","Pb",208,0.440603,"ug/L",0.499,21386.905
"|>","Bi",209,,"ug/L",,489329.069
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-CCV@2305744"
"Sample Date/Time:","Monday, November 06, 2023 11:01:56"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,581445.726
"| ","Be",9,53.524100,"ug/L",1.332,32862.981
"|-","Al",27,546.071489,"ug/L",1.455,6253171.180
"|-","V",51,51.613875,"ug/L",1.414,758658.952
"| ","Cr",52,51.940812,"ug/L",1.305,678542.541
"| ","Mn",55,51.692095,"ug/L",0.828,1053747.578
"| ","Fe",57,1044.259236,"ug/L",1.343,422123.250
"| ","Co",59,52.126703,"ug/L",0.474,768368.596
"| ","Ni",60,54.170777,"ug/L",0.450,162590.308
"| ","Cu",63,105.800401,"ug/L",0.490,721395.080
"| ","Zn",66,106.896918,"ug/L",0.185,180699.424
"| ","As",75,53.548247,"ug/L",0.301,105727.793
"| ","Se",82,21.223869,"ug/L",2.507,4819.478
"|>","Ge",74,,"ug/L",,434811.913
"|-","Mo",97,21.011319,"ug/L",0.545,53829.117
"|-","Ag",107,10.880681,"ug/L",0.384,133010.411
"| ","Cd",111,53.811393,"ug/L",0.803,137829.411
"|>","In",115,,"ug/L",,488394.884
"| ","Sb",123,9.906153,"ug/L",3.060,60257.643
"|-","Ba",137,212.436486,"ug/L",0.693,918955.630
"|-","Tl",205,52.123344,"ug/L",1.501,1832837.744
"| ","Pb",208,52.839977,"ug/L",0.817,2538435.255
"|>","Bi",209,,"ug/L",,499290.979
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-IFA@2305751"
"Sample Date/Time:","Monday, November 06, 2023 11:05:37"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,576711.423
"| ","Be",9,0.010281,"ug/L",12.873,19.333
"|-","Al",27,5330.883473,"ug/L",0.395,60048091.369
"|-","V",51,0.029251,"ug/L",334.316,-8738.586
"| ","Cr",52,-0.065103,"ug/L",49.964,15831.445
"| ","Mn",55,0.082166,"ug/L",3.133,2753.750
"| ","Fe",57,5130.047022,"ug/L",2.877,2008986.164
"| ","Co",59,0.073562,"ug/L",3.019,1128.403
"| ","Ni",60,0.152644,"ug/L",1.888,516.681
"| ","Cu",63,0.213605,"ug/L",0.893,1749.835
"| ","Zn",66,0.543213,"ug/L",0.697,1584.138
"| ","As",75,0.097651,"ug/L",130.526,-953.168
"| ","Se",82,0.011400,"ug/L",569.624,-1.560
"|>","Ge",74,,"ug/L",,425670.155
"|-","Mo",97,103.305641,"ug/L",0.346,258882.158
"|-","Ag",107,0.005631,"ug/L",7.387,96.334
"| ","Cd",111,-0.018898,"ug/L",73.629,9.764
"|>","In",115,,"ug/L",,476391.617
"| ","Sb",123,0.510658,"ug/L",4.914,3329.756
"|-","Ba",137,0.084213,"ug/L",2.617,508.348
"|-","Tl",205,0.015309,"ug/L",2.048,591.019
"| ","Pb",208,0.046572,"ug/L",3.971,2744.832
"|>","Bi",209,,"ug/L",,473010.362
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-IFB@2305752"
"Sample Date/Time:","Monday, November 06, 2023 11:08:57"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,576715.107
"| ","Be",9,0.005308,"ug/L",102.151,16.333
"|-","Al",27,5275.029113,"ug/L",0.158,59420845.516
"|-","V",51,83.330463,"ug/L",0.429,1192081.408
"| ","Cr",52,80.841582,"ug/L",0.711,1013874.665
"| ","Mn",55,81.217162,"ug/L",0.356,1603203.237
"| ","Fe",57,5168.659461,"ug/L",2.643,2003199.840
"| ","Co",59,81.345662,"ug/L",0.396,1161546.237
"| ","Ni",60,83.436361,"ug/L",0.348,242566.696
"| ","Cu",63,80.150199,"ug/L",0.942,529520.660
"| ","Zn",66,41.512404,"ug/L",0.775,68392.984
"| ","As",75,43.471972,"ug/L",0.362,82942.543
"| ","Se",82,40.747127,"ug/L",1.456,8967.285
"|>","Ge",74,,"ug/L",,421230.537
"|-","Mo",97,104.325836,"ug/L",1.008,258701.666
"|-","Ag",107,22.824965,"ug/L",0.870,272864.423
"| ","Cd",111,42.235595,"ug/L",0.243,105821.072
"|>","In",115,,"ug/L",,477652.728
"| ","Sb",123,0.214673,"ug/L",1.977,1588.289
"|-","Ba",137,0.083201,"ug/L",16.216,505.390
"|-","Tl",205,0.013484,"ug/L",22.037,526.349
"| ","Pb",208,0.045601,"ug/L",5.611,2679.487
"|>","Bi",209,,"ug/L",,469322.644
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","SEQ-LCV"
"Sample Date/Time:","Monday, November 06, 2023 11:29:19"
"Sample Description:","Cr 5"
"Batch ID:","11/06/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
